,project_id,program,unit_type,affordability_start_year,affordability_expiration_year,longitude,latitude,total_units,total_affordable_units
36,5336,Developer Incentive,Single Family,2017,2018,-97.69913299999999,30.295058,1,1
37,5593,Developer Incentive,Multifamily,2020,2119,-97.71047276053403,30.285229840237907,1,1
38,5326,Developer Incentive,Single Family,2017,2018,-97.69864399999999,30.294913,1,1
39,5330,Developer Incentive,Single Family,2017,2018,-97.699467,30.295116999999998,1,1
40,3810,NHCD Program,Single Family,2016,2115,-97.70522199999999,30.264869,1,1
41,4442,NHCD Program,Single Family,2017,2116,-97.70835214,30.26228639,1,1
42,5184,Developer Incentive,Single Family,2016,2017,-97.701149,30.201621000000003,1,1
43,3611,Developer Incentive,Multifamily,2015,2055,-97.7194720175522,30.2615670180304,177,18
44,4535,NHCD Program,Single Family,2017,2027,-97.83030500000001,30.192655,1,1
45,5608,Developer Incentive,Multifamily,2019,2118,-97.72074599999999,30.283103000000004,1,1
46,5361,Developer Incentive,Single Family,2018,2019,-97.698105,30.299961,1,1
47,4080,Developer Incentive,Single Family,2016,2017,-97.69650269,30.294200899999996,1,1
48,4953,Developer Incentive,Single Family,2015,2016,-97.766733,30.136508000000003,1,1
49,4426,Developer Incentive,Single Family,2017,2018,-97.761009,30.179296,1,1
50,5346,Developer Incentive,Single Family,2017,2018,-97.70016,30.299915999999996,1,1
51,4527,NHCD Program,Single Family,2017,2027,-97.83030500000001,30.192655,1,1
52,3619,Developer Incentive,Multifamily,2018,2058,-97.71570636339581,30.259698282081498,208,21
53,4440,Developer Incentive,Multifamily,2019,2059,-97.743941,30.288071999999996,67,7
54,4037,Developer Incentive,Single Family,2015,2016,-97.69529724,30.29249954,1,1
55,3894,NHCD Program,Multifamily,2018,2033,-97.754254,30.157256,174,157
56,5324,Developer Incentive,Single Family,2017,2018,-97.69909200000001,30.29451,1,1
57,5338,Developer Incentive,Single Family,2017,2018,-97.698589,30.29471,1,1
58,5353,Developer Incentive,Single Family,2017,2018,-97.699536,30.299905,1,1
59,3858,NHCD Program,FourPlex,2015,2114,-97.80452,30.226519,4,3
60,5412,Developer Incentive,Multifamily,2020,2060,-97.732588,30.263744,278,41
61,4950,Developer Incentive,Single Family,2015,2016,-97.766795,30.136021999999997,1,1
62,4040,Developer Incentive,Single Family,2015,2016,-97.69709778,30.29220009,1,1
63,4060,Developer Incentive,Single Family,2016,2017,-97.69599915,30.29249954,1,1
64,4079,Developer Incentive,Single Family,2016,2017,-97.69650269,30.29430008,1,1
65,4437,Developer Incentive,Multifamily,2020,2119,-97.710483,30.285681,39,1
66,3535,Developer Incentive,ADU,2017,2018,-97.67720346704522,30.2617249783709,1,1
67,3661,NHCD Program,Single Family,2017,2027,-97.69092374362509,30.2307437676543,1,1
68,3762,Developer Incentive,Single Family,2017,2018,-97.640101,30.300814000000003,1,1
69,5334,Developer Incentive,Single Family,2017,2018,-97.698746,30.298161,1,1
70,5607,Developer Incentive,Multifamily,2019,2118,-97.72074599999999,30.283103000000004,1,1
71,3496,NHCD Program,Single Family,2016,2115,-97.7052555359642,30.2651357246132,1,1
