ProgramYear,CEID,CEName,CECounty,TypeOfAgency,TypeOfSNPOrg,SiteName,ClaimDate,EnrollmentQty,FreeEligibleQty,ReducedEligibleQty,PaidEligibleQty,TotalReimbursement
2018-2019,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,PFLUGERVILLE MIDDLE,05/01/2019 12:00:00 AM,1046.0,505.0,109.0,433.0,344914.14999999997
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PICKLE ELEMENTARY,05/01/2019 12:00:00 AM,478.0,478.0,0.0,0.0,376265.64
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PILLOW EL,05/01/2019 12:00:00 AM,531.0,396.0,28.0,106.0,338650.11
2018-2019,1070,MANOR ISD,TRAVIS,Educational Institution,Public,PIONEER CROSSING ELEMENTARY SCHOOL,05/01/2019 12:00:00 AM,600.0,365.0,44.0,190.0,292663.23
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,PLEASANT HILL EL,05/01/2019 12:00:00 AM,472.0,472.0,0.0,0.0,365119.8
2018-2019,1072,DEL VALLE ISD,TRAVIS,Educational Institution,Public,POPHAM EL,06/01/2019 12:00:00 AM,651.0,470.0,80.0,102.0,460974.07999999996
2018-2019,1070,MANOR ISD,TRAVIS,Educational Institution,Public,PRESIDENTIAL MEADOWS ELEMENTARY SCHOOL,05/01/2019 12:00:00 AM,635.0,476.0,48.0,110.0,360091.81999999995
2018-2019,1067,EAST AUSTIN COLLEGE PREP ACADEMY,TRAVIS,Educational Institution,Charter,Promesa Brownsville,06/01/2019 12:00:00 AM,164.0,157.0,0.0,7.0,129213.7
2018-2019,1067,EAST AUSTIN COLLEGE PREP ACADEMY,TRAVIS,Educational Institution,Charter,Promesa Corpus Christi,06/01/2019 12:00:00 AM,218.0,209.0,0.0,9.0,171523.53
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,REILLY EL,05/01/2019 12:00:00 AM,223.0,140.0,9.0,73.0,91465.65000000001
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,RIDGETOP EL,05/01/2019 12:00:00 AM,372.0,105.0,15.0,252.0,71726.02
2018-2019,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,RIOJAS ELEMENTARY,05/01/2019 12:00:00 AM,707.0,135.0,42.0,530.0,93981.94
2018-2019,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,RIVER OAKS EL,05/01/2019 12:00:00 AM,502.0,410.0,29.0,62.0,339586.33
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,RODRIGUEZ EL,05/01/2019 12:00:00 AM,460.0,460.0,0.0,0.0,370223.61999999994
2018-2019,1249,TEXAS JUVENILE JUSTICE DEPARTMENT,TRAVIS,Government Agency,RCCI,RON JACKSON STATE JUVENILE CORRECTIONAL UNIT I,06/01/2019 12:00:00 AM,231.0,231.0,0.0,0.0,308798.32
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ROSEDALE,05/01/2019 12:00:00 AM,259.0,99.0,11.0,149.0,27615.22
2018-2019,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,ROWE LANE ELEMENTARY,05/01/2019 12:00:00 AM,820.0,123.0,31.0,665.0,94998.67
2018-2019,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,RUTH BARRON EL,05/01/2019 12:00:00 AM,656.0,498.0,54.0,104.0,361653.75
