ProgramYear,CEID,CEName,CECounty,TypeOfAgency,TypeOfSNPOrg,SiteName,ClaimDate,EnrollmentQty,FreeEligibleQty,ReducedEligibleQty,PaidEligibleQty,TotalReimbursement,Lat,Lng,Address,Zipcode
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CASEY ELEMENTARY,06/01/2017 12:00:00 AM,636.0,344.0,66.0,226.0,282626.92,30.1768766,-97.8147005,"9400 Texas Oaks Dr, Austin, TX 78748, USA",78748.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CASEY ELEMENTARY,05/01/2018 12:00:00 AM,622.0,346.0,65.0,211.0,263635.48,30.1768766,-97.8147005,"9400 Texas Oaks Dr, Austin, TX 78748, USA",78748.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CASEY ELEMENTARY,05/01/2019 12:00:00 AM,609.0,369.0,56.0,184.0,293309.25999999995,30.1768766,-97.8147005,"9400 Texas Oaks Dr, Austin, TX 78748, USA",78748.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CASIS ELEMENTARY,06/01/2016 12:00:00 AM,799.0,19.0,5.0,774.0,14478.26,30.304345,-97.765049,"2710 Exposition Blvd, Austin, TX 78703, USA",78703.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CASIS ELEMENTARY,06/01/2017 12:00:00 AM,825.0,27.0,3.0,794.0,15403.94,30.304345,-97.765049,"2710 Exposition Blvd, Austin, TX 78703, USA",78703.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CASIS ELEMENTARY,05/01/2018 12:00:00 AM,770.0,32.0,2.0,736.0,20219.96,30.304345,-97.765049,"2710 Exposition Blvd, Austin, TX 78703, USA",78703.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CASIS ELEMENTARY,05/01/2019 12:00:00 AM,754.0,64.0,0.0,690.0,28600.42,30.304345,-97.765049,"2710 Exposition Blvd, Austin, TX 78703, USA",78703.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CLAYTON ELEMENTARY,06/01/2016 12:00:00 AM,877.0,13.0,2.0,862.0,24706.95,30.19500099999999,-97.906573,"7525 La Crosse Ave, Austin, TX 78739, USA",78739.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CLAYTON ELEMENTARY,06/01/2017 12:00:00 AM,854.0,14.0,0.0,840.0,21181.28,30.19500099999999,-97.906573,"7525 La Crosse Ave, Austin, TX 78739, USA",78739.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CLAYTON ELEMENTARY,05/01/2018 12:00:00 AM,844.0,11.0,3.0,831.0,21077.75,30.19500099999999,-97.906573,"7525 La Crosse Ave, Austin, TX 78739, USA",78739.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CLAYTON ELEMENTARY,05/01/2019 12:00:00 AM,830.0,27.0,2.0,801.0,26540.24,30.19500099999999,-97.906573,"7525 La Crosse Ave, Austin, TX 78739, USA",78739.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,COOK ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,552.0,507.0,28.0,18.0,334320.95,30.3773594,-97.7046084,"1511 Cripple Creek Dr, Austin, TX 78758, USA",78758.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,COOK ELEMENTARY AUSTIN,06/01/2017 12:00:00 AM,529.0,477.0,27.0,25.0,309411.65,30.3773594,-97.7046084,"1511 Cripple Creek Dr, Austin, TX 78758, USA",78758.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,COOK ELEMENTARY AUSTIN,05/01/2018 12:00:00 AM,467.0,404.0,20.0,44.0,264490.67000000004,30.3773594,-97.7046084,"1511 Cripple Creek Dr, Austin, TX 78758, USA",78758.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,COOK ELEMENTARY AUSTIN,05/01/2019 12:00:00 AM,510.0,510.0,0.0,0.0,358225.19,30.3773594,-97.7046084,"1511 Cripple Creek Dr, Austin, TX 78758, USA",78758.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,COVINGTON MIDDLE,06/01/2016 12:00:00 AM,645.0,350.0,61.0,234.0,219698.1,30.212705199999995,-97.8341827,"3700 Convict Hill Rd, Austin, TX 78749, USA",78749.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,COVINGTON MIDDLE,06/01/2017 12:00:00 AM,619.0,327.0,62.0,230.0,204753.81,30.212705199999995,-97.8341827,"3700 Convict Hill Rd, Austin, TX 78749, USA",78749.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,COVINGTON MIDDLE,05/01/2018 12:00:00 AM,662.0,335.0,60.0,266.0,190215.23,30.212705199999995,-97.8341827,"3700 Convict Hill Rd, Austin, TX 78749, USA",78749.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,COVINGTON MIDDLE,05/01/2019 12:00:00 AM,711.0,366.0,63.0,282.0,174853.69999999998,30.212705199999995,-97.8341827,"3700 Convict Hill Rd, Austin, TX 78749, USA",78749.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,COWAN ELEMENTARY,06/01/2016 12:00:00 AM,801.0,208.0,53.0,540.0,125747.77,30.188688,-97.8334808,"2817 Kentish Dr, Austin, TX 78748, USA",78748.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,COWAN ELEMENTARY,06/01/2017 12:00:00 AM,839.0,234.0,39.0,566.0,140786.85,30.188688,-97.8334808,"2817 Kentish Dr, Austin, TX 78748, USA",78748.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,COWAN ELEMENTARY,05/01/2018 12:00:00 AM,850.0,241.0,52.0,557.0,139389.96,30.188688,-97.8334808,"2817 Kentish Dr, Austin, TX 78748, USA",78748.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,COWAN ELEMENTARY,05/01/2019 12:00:00 AM,822.0,269.0,36.0,517.0,147547.83,30.188688,-97.8334808,"2817 Kentish Dr, Austin, TX 78748, USA",78748.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CROCKETT H S,06/01/2016 12:00:00 AM,1446.0,770.0,157.0,519.0,284225.43,30.213196000000003,-97.7966913,"5601 Manchaca Rd, Austin, TX 78745, USA",78745.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CROCKETT H S,06/01/2017 12:00:00 AM,1489.0,850.0,123.0,516.0,279037.69,30.213196000000003,-97.7966913,"5601 Manchaca Rd, Austin, TX 78745, USA",78745.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CROCKETT H S,06/01/2018 12:00:00 AM,1346.0,751.0,112.0,483.0,290884.5,30.213196000000003,-97.7966913,"5601 Manchaca Rd, Austin, TX 78745, USA",78745.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CROCKETT H S,05/01/2019 12:00:00 AM,1459.0,841.0,138.0,479.0,304238.41000000003,30.213196000000003,-97.7966913,"5601 Manchaca Rd, Austin, TX 78745, USA",78745.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CUNNINGHAM ELEMENTARY,06/01/2016 12:00:00 AM,414.0,239.0,31.0,144.0,158626.47000000006,30.210476,-97.805811,"2200 Berkeley Ave, Austin, TX 78745, USA",78745.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CUNNINGHAM ELEMENTARY,06/01/2017 12:00:00 AM,417.0,241.0,29.0,147.0,159079.55000000002,30.210476,-97.805811,"2200 Berkeley Ave, Austin, TX 78745, USA",78745.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CUNNINGHAM ELEMENTARY,05/01/2018 12:00:00 AM,401.0,232.0,28.0,142.0,143094.34000000005,30.210476,-97.805811,"2200 Berkeley Ave, Austin, TX 78745, USA",78745.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CUNNINGHAM ELEMENTARY,05/01/2019 12:00:00 AM,451.0,240.0,39.0,172.0,180475.97000000003,30.210476,-97.805811,"2200 Berkeley Ave, Austin, TX 78745, USA",78745.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DAVIS ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,798.0,200.0,40.0,558.0,113706.22000000002,30.417513800000002,-97.7419576,"5214 Duval Rd, Austin, TX 78727, USA",78727.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DAVIS ELEMENTARY AUSTIN,06/01/2017 12:00:00 AM,820.0,207.0,26.0,587.0,104326.47,30.417513800000002,-97.7419576,"5214 Duval Rd, Austin, TX 78727, USA",78727.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DAVIS ELEMENTARY AUSTIN,05/01/2018 12:00:00 AM,798.0,192.0,30.0,576.0,85522.36,30.417513800000002,-97.7419576,"5214 Duval Rd, Austin, TX 78727, USA",78727.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DAVIS ELEMENTARY AUSTIN,05/01/2019 12:00:00 AM,741.0,203.0,18.0,520.0,96078.13,30.417513800000002,-97.7419576,"5214 Duval Rd, Austin, TX 78727, USA",78727.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DAWSON ELEMENTARY,06/01/2016 12:00:00 AM,374.0,287.0,25.0,62.0,197357.0,30.2342015,-97.7636141,"3001 S 1st St, Austin, TX 78704, USA",78704.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DAWSON ELEMENTARY,06/01/2017 12:00:00 AM,351.0,263.0,26.0,61.0,225091.17,30.2342015,-97.7636141,"3001 S 1st St, Austin, TX 78704, USA",78704.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DAWSON ELEMENTARY,06/01/2018 12:00:00 AM,328.0,228.0,21.0,79.0,206692.96,30.2342015,-97.7636141,"3001 S 1st St, Austin, TX 78704, USA",78704.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DAWSON ELEMENTARY,05/01/2019 12:00:00 AM,422.0,273.0,14.0,135.0,218582.86,30.2342015,-97.7636141,"3001 S 1st St, Austin, TX 78704, USA",78704.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DILL SPECIAL PROG,06/01/2016 12:00:00 AM,14.0,11.0,1.0,2.0,7545.45,,,,
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DILL SPECIAL PROG,06/01/2017 12:00:00 AM,12.0,9.0,1.0,2.0,6086.959999999999,,,,
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DILL SPECIAL PROG,11/01/2017 12:00:00 AM,0.0,0.0,0.0,0.0,0.0,,,,
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DOBIE MIDDLE,06/01/2016 12:00:00 AM,666.0,585.0,35.0,47.0,351972.8300000001,30.3545789,-97.6794391,"1200 E Rundberg Ln, Austin, TX 78753, USA",78753.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DOBIE MIDDLE,06/01/2017 12:00:00 AM,610.0,537.0,33.0,41.0,313184.06999999995,30.3545789,-97.6794391,"1200 E Rundberg Ln, Austin, TX 78753, USA",78753.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DOBIE MIDDLE,05/01/2018 12:00:00 AM,614.0,506.0,36.0,72.0,279231.98000000004,30.3545789,-97.6794391,"1200 E Rundberg Ln, Austin, TX 78753, USA",78753.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DOBIE MIDDLE,05/01/2019 12:00:00 AM,597.0,524.0,26.0,47.0,282304.3,30.3545789,-97.6794391,"1200 E Rundberg Ln, Austin, TX 78753, USA",78753.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DOBIE PK CENTER,06/01/2016 12:00:00 AM,263.0,263.0,0.0,0.0,176856.38999999996,30.3557833,-97.6788771,"1200 E Rundberg Ln, Austin, TX 78753, USA",78753.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DOBIE PK CENTER,06/01/2017 12:00:00 AM,208.0,208.0,0.0,0.0,160035.0,30.3557833,-97.6788771,"1200 E Rundberg Ln, Austin, TX 78753, USA",78753.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DOBIE PK CENTER,05/01/2018 12:00:00 AM,215.0,215.0,0.0,0.0,160230.84000000005,30.3557833,-97.6788771,"1200 E Rundberg Ln, Austin, TX 78753, USA",78753.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DOBIE PK CENTER,05/01/2019 12:00:00 AM,219.0,219.0,0.0,0.0,181706.04,30.3557833,-97.6788771,"1200 E Rundberg Ln, Austin, TX 78753, USA",78753.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DOSS ELEMENTARY,06/01/2016 12:00:00 AM,885.0,126.0,25.0,735.0,90084.73,30.3560865,-97.7628075,"7005 Northledge Dr, Austin, TX 78731, USA",78731.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DOSS ELEMENTARY,06/01/2017 12:00:00 AM,880.0,104.0,27.0,749.0,77588.20999999999,30.3560865,-97.7628075,"7005 Northledge Dr, Austin, TX 78731, USA",78731.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DOSS ELEMENTARY,05/01/2018 12:00:00 AM,832.0,105.0,26.0,700.0,76492.16,30.3560865,-97.7628075,"7005 Northledge Dr, Austin, TX 78731, USA",78731.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DOSS ELEMENTARY,05/01/2019 12:00:00 AM,830.0,149.0,25.0,656.0,104681.81,30.3560865,-97.7628075,"7005 Northledge Dr, Austin, TX 78731, USA",78731.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,EASTSIDE MEMORIAL AT THE JOHNSTON CAMPUS,06/01/2016 12:00:00 AM,549.0,449.0,40.0,61.0,194483.86,30.258015999999998,-97.68146800000001,"1012 Arthur Stiles Rd, Austin, TX 78721, USA",78721.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,EASTSIDE MEMORIAL AT THE JOHNSTON CAMPUS,06/01/2017 12:00:00 AM,545.0,431.0,44.0,69.0,191602.79,30.258015999999998,-97.68146800000001,"1012 Arthur Stiles Rd, Austin, TX 78721, USA",78721.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,EASTSIDE MEMORIAL AT THE JOHNSTON CAMPUS,05/01/2018 12:00:00 AM,494.0,375.0,51.0,68.0,165552.80000000002,30.258015999999998,-97.68146800000001,"1012 Arthur Stiles Rd, Austin, TX 78721, USA",78721.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,EASTSIDE MEMORIAL AT THE JOHNSTON CAMPUS,05/01/2019 12:00:00 AM,470.0,331.0,25.0,113.0,142552.38,30.258015999999998,-97.68146800000001,"1012 Arthur Stiles Rd, Austin, TX 78721, USA",78721.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,FULMORE MIDDLE,06/01/2016 12:00:00 AM,1010.0,641.0,65.0,304.0,343358.82,30.243927000000003,-97.750467,"201 E Mary St, Austin, TX 78704, USA",78704.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,FULMORE MIDDLE,06/01/2017 12:00:00 AM,1027.0,605.0,65.0,357.0,330647.91,30.243927000000003,-97.750467,"201 E Mary St, Austin, TX 78704, USA",78704.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,FULMORE MIDDLE,05/01/2018 12:00:00 AM,1002.0,582.0,58.0,363.0,259986.9,30.243927000000003,-97.750467,"201 E Mary St, Austin, TX 78704, USA",78704.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GALINDO ELEMENTARY,06/01/2016 12:00:00 AM,590.0,521.0,28.0,40.0,350016.4499999999,30.2295173,-97.7718943,"3800 S 2nd St, Austin, TX 78704, USA",78704.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GALINDO ELEMENTARY,06/01/2017 12:00:00 AM,598.0,524.0,24.0,50.0,348230.23,30.2295173,-97.7718943,"3800 S 2nd St, Austin, TX 78704, USA",78704.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GALINDO ELEMENTARY,06/01/2018 12:00:00 AM,527.0,454.0,28.0,45.0,337669.27,30.2295173,-97.7718943,"3800 S 2nd St, Austin, TX 78704, USA",78704.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GALINDO ELEMENTARY,05/01/2019 12:00:00 AM,641.0,641.0,0.0,0.0,381974.78,30.2295173,-97.7718943,"3800 S 2nd St, Austin, TX 78704, USA",78704.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GARZA INDEPENDENCE H S,06/01/2016 12:00:00 AM,186.0,52.0,9.0,126.0,13014.22,30.2775234,-97.7210943,"1600 Chicon St, Austin, TX 78702, USA",78702.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GARZA INDEPENDENCE H S,06/01/2017 12:00:00 AM,201.0,64.0,7.0,130.0,16306.2,30.2775234,-97.7210943,"1600 Chicon St, Austin, TX 78702, USA",78702.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GARZA INDEPENDENCE H S,06/01/2018 12:00:00 AM,174.0,52.0,6.0,116.0,17566.320000000003,30.2775234,-97.7210943,"1600 Chicon St, Austin, TX 78702, USA",78702.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GARZA INDEPENDENCE H S,06/01/2019 12:00:00 AM,173.0,56.0,8.0,110.0,16478.61,30.2775234,-97.7210943,"1600 Chicon St, Austin, TX 78702, USA",78702.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GORZYCKI MIDDLE SCHOOL,06/01/2016 12:00:00 AM,1348.0,54.0,19.0,1275.0,39341.42,30.214327700000002,-97.8918768,"7412 W Slaughter Ln, Austin, TX 78749, USA",78749.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GORZYCKI MIDDLE SCHOOL,06/01/2017 12:00:00 AM,1289.0,45.0,16.0,1228.0,33644.89,30.214327700000002,-97.8918768,"7412 W Slaughter Ln, Austin, TX 78749, USA",78749.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GORZYCKI MIDDLE SCHOOL,05/01/2018 12:00:00 AM,1277.0,55.0,8.0,1214.0,31498.13,30.214327700000002,-97.8918768,"7412 W Slaughter Ln, Austin, TX 78749, USA",78749.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GORZYCKI MIDDLE SCHOOL,05/01/2019 12:00:00 AM,1284.0,66.0,9.0,1208.0,37873.460000000014,30.214327700000002,-97.8918768,"7412 W Slaughter Ln, Austin, TX 78749, USA",78749.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GOVALLE ELEMENTARY,06/01/2016 12:00:00 AM,503.0,431.0,29.0,43.0,294707.5000000001,30.264109899999998,-97.6985658,"3601 Govalle Ave, Austin, TX 78702, USA",78702.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GOVALLE ELEMENTARY,06/01/2017 12:00:00 AM,469.0,411.0,17.0,41.0,299363.11999999994,30.264109899999998,-97.6985658,"3601 Govalle Ave, Austin, TX 78702, USA",78702.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GOVALLE ELEMENTARY,06/01/2018 12:00:00 AM,377.0,377.0,0.0,0.0,283240.38,30.264109899999998,-97.6985658,"3601 Govalle Ave, Austin, TX 78702, USA",78702.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GOVALLE ELEMENTARY,05/01/2019 12:00:00 AM,377.0,377.0,0.0,0.0,274760.62,30.264109899999998,-97.6985658,"3601 Govalle Ave, Austin, TX 78702, USA",78702.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GRAHAM ELEMENTARY,06/01/2016 12:00:00 AM,710.0,549.0,71.0,90.0,361419.83,30.372704600000002,-97.6693002,"11211 Tom Adams Dr, Austin, TX 78753, USA",78753.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GRAHAM ELEMENTARY,06/01/2017 12:00:00 AM,699.0,520.0,73.0,106.0,344722.34,30.372704600000002,-97.6693002,"11211 Tom Adams Dr, Austin, TX 78753, USA",78753.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GRAHAM ELEMENTARY,05/01/2018 12:00:00 AM,627.0,466.0,45.0,117.0,292763.59,30.372704600000002,-97.6693002,"11211 Tom Adams Dr, Austin, TX 78753, USA",78753.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GRAHAM ELEMENTARY,05/01/2019 12:00:00 AM,514.0,390.0,29.0,95.0,247577.89000000004,30.372704600000002,-97.6693002,"11211 Tom Adams Dr, Austin, TX 78753, USA",78753.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GUERRERO THOMPSON,06/01/2016 12:00:00 AM,690.0,643.0,21.0,26.0,433269.16,30.3638869,-97.6916658,"102 E Rundberg Ln, Austin, TX 78753, USA",78753.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GUERRERO THOMPSON,06/01/2017 12:00:00 AM,663.0,606.0,30.0,27.0,503154.17,30.3638869,-97.6916658,"102 E Rundberg Ln, Austin, TX 78753, USA",78753.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GUERRERO THOMPSON,05/01/2018 12:00:00 AM,653.0,587.0,34.0,32.0,474342.88000000006,30.3638869,-97.6916658,"102 E Rundberg Ln, Austin, TX 78753, USA",78753.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GUERRERO THOMPSON,05/01/2019 12:00:00 AM,635.0,635.0,0.0,0.0,515166.6,30.3638869,-97.6916658,"102 E Rundberg Ln, Austin, TX 78753, USA",78753.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GULLETT ELEMENTARY,06/01/2016 12:00:00 AM,575.0,33.0,8.0,534.0,22337.24,30.3435482,-97.748588,"6310 Treadwell Blvd, Austin, TX 78757, USA",78757.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GULLETT ELEMENTARY,06/01/2017 12:00:00 AM,556.0,46.0,9.0,501.0,26956.93,30.3435482,-97.748588,"6310 Treadwell Blvd, Austin, TX 78757, USA",78757.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GULLETT ELEMENTARY,05/01/2018 12:00:00 AM,572.0,49.0,7.0,517.0,26213.07,30.3435482,-97.748588,"6310 Treadwell Blvd, Austin, TX 78757, USA",78757.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GULLETT ELEMENTARY,05/01/2019 12:00:00 AM,604.0,92.0,8.0,505.0,44358.28,30.3435482,-97.748588,"6310 Treadwell Blvd, Austin, TX 78757, USA",78757.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HARRIS ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,633.0,588.0,22.0,23.0,389728.79,30.314818300000002,-97.690812,"1711 Wheless Ln, Austin, TX 78723, USA",78723.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HARRIS ELEMENTARY AUSTIN,06/01/2017 12:00:00 AM,633.0,590.0,19.0,24.0,443056.92,30.314818300000002,-97.690812,"1711 Wheless Ln, Austin, TX 78723, USA",78723.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HARRIS ELEMENTARY AUSTIN,05/01/2018 12:00:00 AM,617.0,617.0,0.0,0.0,472175.26,30.314818300000002,-97.690812,"1711 Wheless Ln, Austin, TX 78723, USA",78723.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HARRIS ELEMENTARY AUSTIN,05/01/2019 12:00:00 AM,532.0,532.0,0.0,0.0,439045.51,30.314818300000002,-97.690812,"1711 Wheless Ln, Austin, TX 78723, USA",78723.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HART ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,707.0,651.0,33.0,24.0,437697.8,30.342450699999997,-97.6887123,"8301 Furness Dr, Austin, TX 78753, USA",78753.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HART ELEMENTARY AUSTIN,06/01/2017 12:00:00 AM,703.0,631.0,45.0,27.0,535490.1099999999,30.342450699999997,-97.6887123,"8301 Furness Dr, Austin, TX 78753, USA",78753.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HART ELEMENTARY AUSTIN,05/01/2018 12:00:00 AM,699.0,604.0,42.0,53.0,512321.44,30.342450699999997,-97.6887123,"8301 Furness Dr, Austin, TX 78753, USA",78753.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HART ELEMENTARY AUSTIN,05/01/2019 12:00:00 AM,673.0,673.0,0.0,0.0,558275.43,30.342450699999997,-97.6887123,"8301 Furness Dr, Austin, TX 78753, USA",78753.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HIGHLAND PARK ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,699.0,143.0,45.0,511.0,228640.15,30.330692300000003,-97.7600483,"4900 Fairview Dr, Austin, TX 78731, USA",78731.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HIGHLAND PARK ELEMENTARY AUSTIN,05/01/2017 12:00:00 AM,752.0,132.0,50.0,570.0,222681.81,30.330692300000003,-97.7600483,"4900 Fairview Dr, Austin, TX 78731, USA",78731.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HIGHLAND PARK ELEMENTARY AUSTIN,06/01/2018 12:00:00 AM,650.0,95.0,39.0,516.0,149328.86,30.330692300000003,-97.7600483,"4900 Fairview Dr, Austin, TX 78731, USA",78731.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HIGHLAND PARK ELEMENTARY AUSTIN,05/01/2019 12:00:00 AM,649.0,115.0,29.0,506.0,158253.66000000006,30.330692300000003,-97.7600483,"4900 Fairview Dr, Austin, TX 78731, USA",78731.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HILL ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,975.0,85.0,17.0,873.0,53846.88,30.376355800000002,-97.7485748,"8601 Tallwood Dr, Austin, TX 78759, USA",78759.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HILL ELEMENTARY AUSTIN,06/01/2017 12:00:00 AM,942.0,71.0,15.0,857.0,48664.43,30.376355800000002,-97.7485748,"8601 Tallwood Dr, Austin, TX 78759, USA",78759.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HILL ELEMENTARY AUSTIN,05/01/2018 12:00:00 AM,964.0,87.0,9.0,868.0,63043.25,30.376355800000002,-97.7485748,"8601 Tallwood Dr, Austin, TX 78759, USA",78759.0
