ProgramYear,CEID,CEName,CECounty,TypeOfAgency,TypeOfSNPOrg,SiteName,ClaimDate,EnrollmentQty,FreeEligibleQty,ReducedEligibleQty,PaidEligibleQty,TotalReimbursement,Lat,Lng,Address,Zipcode
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ANN RICHARDS SCHOOL FOR YOUNG WOMEN LEADERS,06/01/2016 12:00:00 AM,784.0,373.0,88.0,323.0,208084.54,30.236240000000002,-97.7884298,"2206 Prather Ln, Austin, TX 78704, USA",78704.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ANN RICHARDS SCHOOL FOR YOUNG WOMEN LEADERS,06/01/2017 12:00:00 AM,781.0,356.0,91.0,334.0,207208.84999999995,30.236240000000002,-97.7884298,"2206 Prather Ln, Austin, TX 78704, USA",78704.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ANN RICHARDS SCHOOL FOR YOUNG WOMEN LEADERS,06/01/2018 12:00:00 AM,751.0,328.0,77.0,346.0,190748.7,30.236240000000002,-97.7884298,"2206 Prather Ln, Austin, TX 78704, USA",78704.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ANN RICHARDS SCHOOL FOR YOUNG WOMEN LEADERS,05/01/2019 12:00:00 AM,856.0,359.0,81.0,417.0,189911.02,30.236240000000002,-97.7884298,"2206 Prather Ln, Austin, TX 78704, USA",78704.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,AUSTIN HIGH SCHOOL,06/01/2016 12:00:00 AM,2061.0,513.0,123.0,1425.0,204362.95,30.273557699999998,-97.7667348,"1715 W Cesar Chavez St, Austin, TX 78703, USA",78703.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,AUSTIN HIGH SCHOOL,06/01/2017 12:00:00 AM,2139.0,508.0,122.0,1510.0,197125.4,30.273557699999998,-97.7667348,"1715 W Cesar Chavez St, Austin, TX 78703, USA",78703.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,AUSTIN HIGH SCHOOL,05/01/2018 12:00:00 AM,2242.0,478.0,102.0,1662.0,171664.47999999998,30.273557699999998,-97.7667348,"1715 W Cesar Chavez St, Austin, TX 78703, USA",78703.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,AUSTIN HIGH SCHOOL,06/01/2019 12:00:00 AM,2306.0,518.0,76.0,1712.0,155816.07,30.273557699999998,-97.7667348,"1715 W Cesar Chavez St, Austin, TX 78703, USA",78703.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BAILEY MIDDLE SCHOOL AUSTIN,06/01/2016 12:00:00 AM,880.0,196.0,61.0,622.0,111990.32,30.164015000000003,-97.8727663,"4020 Lost Oasis Hollow, Austin, TX 78739, USA",78739.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BAILEY MIDDLE SCHOOL AUSTIN,06/01/2017 12:00:00 AM,911.0,228.0,65.0,618.0,121894.61000000002,30.164015000000003,-97.8727663,"4020 Lost Oasis Hollow, Austin, TX 78739, USA",78739.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BAILEY MIDDLE SCHOOL AUSTIN,05/01/2018 12:00:00 AM,1005.0,259.0,69.0,677.0,125224.0,30.164015000000003,-97.8727663,"4020 Lost Oasis Hollow, Austin, TX 78739, USA",78739.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BAILEY MIDDLE SCHOOL AUSTIN,05/01/2019 12:00:00 AM,1005.0,283.0,52.0,671.0,137646.99,30.164015000000003,-97.8727663,"4020 Lost Oasis Hollow, Austin, TX 78739, USA",78739.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BALDWIN ELEMENTARY SCHOOL AUSTIN,06/01/2016 12:00:00 AM,791.0,94.0,17.0,681.0,66625.89,30.1848897,-97.92345300000001,"12200 Meridian Park Blvd, Austin, TX 78739, USA",78739.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BALDWIN ELEMENTARY SCHOOL AUSTIN,06/01/2017 12:00:00 AM,798.0,106.0,15.0,677.0,67344.06000000001,30.1848897,-97.92345300000001,"12200 Meridian Park Blvd, Austin, TX 78739, USA",78739.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BALDWIN ELEMENTARY SCHOOL AUSTIN,05/01/2018 12:00:00 AM,805.0,113.0,12.0,680.0,73178.24999999999,30.1848897,-97.92345300000001,"12200 Meridian Park Blvd, Austin, TX 78739, USA",78739.0
2018-2019,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BALDWIN ELEMENTARY SCHOOL AUSTIN,05/01/2019 12:00:00 AM,783.0,118.0,17.0,648.0,82542.71,30.1848897,-97.92345300000001,"12200 Meridian Park Blvd, Austin, TX 78739, USA",78739.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARANOFF ELEMENTARY,06/01/2016 12:00:00 AM,991.0,95.0,33.0,863.0,69091.97000000003,30.153903000000003,-97.85216390000001,"12009 Buckingham Gate Rd, Austin, TX 78748, USA",78748.0
