SiteName,ProgramYear,CEID,CEName,CECounty,TypeOfAgency,TypeOfSNPOrg,SiteName,ClaimDate,EnrollmentQty,FreeEligibleQty,ReducedEligibleQty,PaidEligibleQty,TotalReimbursement
DAVIS EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DAVIS EL,06/01/2016 12:00:00 AM,798.0,200.0,40.0,558.0,113706.22000000002
DAWSON EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DAWSON EL,06/01/2016 12:00:00 AM,374.0,287.0,25.0,62.0,197357.0
DILL SPECIAL PROG,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DILL SPECIAL PROG,06/01/2016 12:00:00 AM,14.0,11.0,1.0,2.0,7545.45
DOBIE MIDDLE,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DOBIE MIDDLE,06/01/2016 12:00:00 AM,666.0,585.0,35.0,47.0,351972.8300000001
DOBIE PK CENTER,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DOBIE PK CENTER,06/01/2016 12:00:00 AM,263.0,263.0,0.0,0.0,176856.38999999998
DOSS EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DOSS EL,06/01/2016 12:00:00 AM,885.0,126.0,25.0,735.0,90084.73000000001
EASTSIDE MEMORIAL AT THE JOHNSTON CAMPUS,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,EASTSIDE MEMORIAL AT THE JOHNSTON CAMPUS,06/01/2016 12:00:00 AM,549.0,449.0,40.0,61.0,194483.86000000002
FULMORE MIDDLE,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,FULMORE MIDDLE,06/01/2016 12:00:00 AM,1010.0,641.0,65.0,304.0,343358.82
GALINDO EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GALINDO EL,06/01/2016 12:00:00 AM,590.0,521.0,28.0,40.0,350016.4499999999
GARZA HIGH SCHOOL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GARZA HIGH SCHOOL,06/01/2016 12:00:00 AM,186.0,52.0,9.0,126.0,13014.220000000001
GORZYCKI MIDDLE SCHOOL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GORZYCKI MIDDLE SCHOOL,06/01/2016 12:00:00 AM,1348.0,54.0,19.0,1275.0,39341.42
GOVALLE EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GOVALLE EL,06/01/2016 12:00:00 AM,503.0,431.0,29.0,43.0,294707.50000000006
GRAHAM EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GRAHAM EL,06/01/2016 12:00:00 AM,710.0,549.0,71.0,90.0,361419.83
GUERRERO THOMPSON,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GUERRERO THOMPSON,06/01/2016 12:00:00 AM,690.0,643.0,21.0,26.0,433269.16000000003
GULLETT EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GULLETT EL,06/01/2016 12:00:00 AM,575.0,33.0,8.0,534.0,22337.24
HARRIS EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HARRIS EL,06/01/2016 12:00:00 AM,633.0,588.0,22.0,23.0,389728.79
HART ELEMENTARY,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HART ELEMENTARY,06/01/2016 12:00:00 AM,707.0,651.0,33.0,24.0,437697.8
HIGHLAND PARK EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HIGHLAND PARK EL,06/01/2016 12:00:00 AM,699.0,143.0,45.0,511.0,228640.15
HILL EL,2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HILL EL,06/01/2016 12:00:00 AM,975.0,85.0,17.0,873.0,53846.88
