ProgramYear,CEID,CEName,CECounty,TypeOfAgency,TypeOfSNPOrg,SiteName,ClaimDate,EnrollmentQty,FreeEligibleQty,ReducedEligibleQty,PaidEligibleQty,TotalReimbursement
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,AKINS H S,06/01/2017 12:00:00 AM,2640.0,1414.0,290.0,936.0,828531.0399999999
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ALLISON EL,06/01/2017 12:00:00 AM,459.0,409.0,18.0,32.0,268526.03
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ALTERNATIVE LEARNING CTR,06/01/2017 12:00:00 AM,145.0,111.0,6.0,28.0,84981.0
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ANDERSON H S,06/01/2017 12:00:00 AM,2200.0,445.0,87.0,1668.0,193494.49000000002
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ANDREWS EL,06/01/2017 12:00:00 AM,574.0,527.0,23.0,24.0,446195.87000000005
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ANN RICHARDS SCHOOL FOR YOUNG WOMEN LEADERS,06/01/2017 12:00:00 AM,781.0,356.0,91.0,334.0,207208.84999999995
2016-2017,4199,AUSTIN ACHIEVE PUBLIC SCHOOLS INC.,TRAVIS,Educational Institution,Charter,AUSTIN ACHIEVE-- PUBLIC SCHOOL,06/01/2017 12:00:00 AM,689.0,588.0,36.0,65.0,362845.15
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,AUSTIN H S,06/01/2017 12:00:00 AM,2139.0,508.0,122.0,1510.0,197125.4
2016-2017,1249,TEXAS JUVENILE JUSTICE DEPARTMENT,TRAVIS,Government Agency,RCCI,AYERS HOUSE,06/01/2017 12:00:00 AM,33.0,33.0,0.0,0.0,35171.880000000005
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BAILEY MIDDLE,06/01/2017 12:00:00 AM,911.0,228.0,65.0,618.0,121894.61000000002
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BALDWIN ELEMENTARY,06/01/2017 12:00:00 AM,798.0,106.0,15.0,677.0,67344.06000000001
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARANOFF EL,06/01/2017 12:00:00 AM,1022.0,93.0,34.0,894.0,66620.98
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARRINGTON EL,06/01/2017 12:00:00 AM,549.0,497.0,28.0,24.0,395714.67999999993
2016-2017,1071,EANES ISD,TRAVIS,Educational Institution,Public,BARTON CREEK EL,05/01/2017 12:00:00 AM,502.0,2.0,0.0,500.0,6278.0599999999995
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARTON HILLS EL,06/01/2017 12:00:00 AM,428.0,25.0,2.0,400.0,24352.920000000002
2016-2017,1072,DEL VALLE ISD,TRAVIS,Educational Institution,Public,BATY EL,06/01/2017 12:00:00 AM,723.0,644.0,34.0,44.0,522864.92000000004
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BECKER EL,06/01/2017 12:00:00 AM,428.0,161.0,8.0,258.0,103595.25
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BEDICHEK MIDDLE,06/01/2017 12:00:00 AM,891.0,659.0,83.0,149.0,332642.89
2016-2017,1074,LAKE TRAVIS ISD,TRAVIS,Educational Institution,Public,BEE CAVE ELEMENTARY,06/01/2017 12:00:00 AM,695.0,26.0,10.0,659.0,33394.520000000004
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLACKSHEAR EL,06/01/2017 12:00:00 AM,381.0,261.0,18.0,102.0,172521.19
2016-2017,1070,MANOR ISD,TRAVIS,Educational Institution,Public,BLAKE MANOR ELEMENTARY,05/01/2017 12:00:00 AM,682.0,521.0,62.0,99.0,373485.58
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLANTON EL,06/01/2017 12:00:00 AM,494.0,358.0,28.0,108.0,230292.07
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLAZIER ELEMENTARY SCHOOL,06/01/2017 12:00:00 AM,829.0,502.0,96.0,232.0,354001.17
2016-2017,1070,MANOR ISD,TRAVIS,Educational Institution,Public,BLUEBONNET TRAIL EL,05/01/2017 12:00:00 AM,561.0,307.0,68.0,186.0,243826.73999999996
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BOONE EL,06/01/2017 12:00:00 AM,571.0,252.0,39.0,281.0,181684.97000000003
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BOWIE H S,06/01/2017 12:00:00 AM,2878.0,290.0,77.0,2511.0,117057.5
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BRENTWOOD EL,06/01/2017 12:00:00 AM,654.0,144.0,18.0,492.0,88075.24
2016-2017,1071,EANES ISD,TRAVIS,Educational Institution,Public,BRIDGE POINT EL,05/01/2017 12:00:00 AM,716.0,13.0,4.0,699.0,16996.660000000003
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BROOKE EL,06/01/2017 12:00:00 AM,273.0,237.0,23.0,13.0,183513.94
2016-2017,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,BROOKHOLLOW EL,05/01/2017 12:00:00 AM,429.0,176.0,44.0,209.0,132758.83
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BRYKER WOODS EL,06/01/2017 12:00:00 AM,447.0,38.0,7.0,401.0,25021.55
2016-2017,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BURNET MIDDLE,06/01/2017 12:00:00 AM,963.0,839.0,51.0,73.0,487314.07
2016-2017,1249,TEXAS JUVENILE JUSTICE DEPARTMENT,TRAVIS,Government Agency,RCCI,Brownwood Halfway House,06/01/2017 12:00:00 AM,9.0,9.0,0.0,0.0,8870.52
2016-2017,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,CALDWELL ELEMENTARY,05/01/2017 12:00:00 AM,703.0,305.0,78.0,320.0,242752.73
