ProgramYear,CEID,CEName,CECounty,TypeOfAgency,TypeOfSNPOrg,SiteName,ClaimDate,EnrollmentQty,FreeEligibleQty,ReducedEligibleQty,PaidEligibleQty,TotalReimbursement
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BEDICHEK MIDDLE,06/01/2016 12:00:00 AM,912.0,653.0,104.0,156.0,330883.79
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLACKSHEAR ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,301.0,228.0,20.0,54.0,154819.93
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLANTON ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,491.0,381.0,22.0,88.0,249804.77
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLAZIER ELEMENTARY SCHOOL,06/01/2016 12:00:00 AM,860.0,539.0,108.0,213.0,384523.57
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BOONE ELEMENTARY AUSTIN,06/01/2016 12:00:00 AM,574.0,240.0,41.0,293.0,172552.61
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BOWIE HIGH SCHOOL AUSTIN,06/01/2016 12:00:00 AM,2902.0,295.0,104.0,2503.0,127119.5
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BRENTWOOD ELEMENTARY,06/01/2016 12:00:00 AM,619.0,142.0,27.0,449.0,85060.72000000003
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BROOKE ELEMENTARY,06/01/2016 12:00:00 AM,262.0,228.0,19.0,15.0,157767.65000000002
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BRYKER WOODS ELEMENTARY,06/01/2016 12:00:00 AM,401.0,33.0,7.0,362.0,23665.61
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BURNET MIDDLE,06/01/2016 12:00:00 AM,1054.0,933.0,53.0,68.0,537040.48
