ProgramYear,CEID,CEName,CECounty,TypeOfAgency,TypeOfSNPOrg,SiteName,ClaimDate,EnrollmentQty,FreeEligibleQty,ReducedEligibleQty,PaidEligibleQty,TotalReimbursement
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,AKINS H S,05/01/2018 12:00:00 AM,2745.0,1398.0,316.0,1031.0,799116.5200000001
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ALLISON EL,05/01/2018 12:00:00 AM,482.0,482.0,0.0,0.0,357761.75
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ALTERNATIVE LEARNING CTR,05/01/2018 12:00:00 AM,151.0,100.0,8.0,42.0,61382.200000000004
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ANDERSON H S,06/01/2018 12:00:00 AM,2022.0,394.0,79.0,1548.0,169132.66999999998
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ANDREWS EL,06/01/2018 12:00:00 AM,459.0,407.0,22.0,30.0,374724.18
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ANN RICHARDS SCHOOL FOR YOUNG WOMEN LEADERS,06/01/2018 12:00:00 AM,751.0,328.0,77.0,346.0,190748.7
2017-2018,4199,AUSTIN ACHIEVE PUBLIC SCHOOLS INC.,TRAVIS,Educational Institution,Charter,AUSTIN ACHIEVE-- PUBLIC SCHOOL,05/01/2018 12:00:00 AM,797.0,688.0,70.0,39.0,546596.6
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,AUSTIN H S,05/01/2018 12:00:00 AM,2242.0,478.0,102.0,1662.0,171664.47999999998
2017-2018,1249,TEXAS JUVENILE JUSTICE DEPARTMENT,TRAVIS,Government Agency,RCCI,AYERS HOUSE,06/01/2018 12:00:00 AM,28.0,28.0,0.0,0.0,30373.1
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BAILEY MIDDLE,05/01/2018 12:00:00 AM,1005.0,259.0,69.0,677.0,125223.99999999999
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BALDWIN ELEMENTARY,05/01/2018 12:00:00 AM,805.0,113.0,12.0,680.0,73178.24999999999
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARANOFF EL,05/01/2018 12:00:00 AM,1021.0,103.0,26.0,892.0,64129.31
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARRINGTON EL,05/01/2018 12:00:00 AM,541.0,541.0,0.0,0.0,439842.53
2017-2018,1071,EANES ISD,TRAVIS,Educational Institution,Public,BARTON CREEK EL,05/01/2018 12:00:00 AM,478.0,8.0,0.0,470.0,8327.02
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARTON HILLS EL,05/01/2018 12:00:00 AM,456.0,30.0,11.0,415.0,31600.800000000003
2017-2018,1072,DEL VALLE ISD,TRAVIS,Educational Institution,Public,BATY EL,06/01/2018 12:00:00 AM,664.0,591.0,29.0,44.0,490070.73000000004
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BECKER EL,05/01/2018 12:00:00 AM,447.0,148.0,11.0,288.0,93189.31999999999
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BEDICHEK MIDDLE,06/01/2018 12:00:00 AM,780.0,562.0,89.0,130.0,295665.6
2017-2018,1074,LAKE TRAVIS ISD,TRAVIS,Educational Institution,Public,BEE CAVE ELEMENTARY,06/01/2018 12:00:00 AM,757.0,24.0,8.0,725.0,28398.749999999996
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLACKSHEAR EL,05/01/2018 12:00:00 AM,380.0,233.0,24.0,123.0,181870.31999999998
2017-2018,1070,MANOR ISD,TRAVIS,Educational Institution,Public,BLAKE MANOR ELEMENTARY,05/01/2018 12:00:00 AM,577.0,411.0,84.0,81.0,305313.61
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLANTON EL,06/01/2018 12:00:00 AM,467.0,301.0,21.0,146.0,206725.65999999997
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLAZIER ELEMENTARY SCHOOL,05/01/2018 12:00:00 AM,864.0,487.0,100.0,277.0,325649.4
2017-2018,1070,MANOR ISD,TRAVIS,Educational Institution,Public,BLUEBONNET TRAIL EL,05/01/2018 12:00:00 AM,571.0,311.0,65.0,195.0,235993.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BOONE EL,05/01/2018 12:00:00 AM,540.0,220.0,44.0,276.0,135213.40999999997
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BOWIE H S,05/01/2018 12:00:00 AM,2873.0,250.0,76.0,2546.0,96799.25
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BRENTWOOD EL,05/01/2018 12:00:00 AM,676.0,124.0,16.0,537.0,70219.52
2017-2018,1071,EANES ISD,TRAVIS,Educational Institution,Public,BRIDGE POINT EL,05/01/2018 12:00:00 AM,660.0,11.0,3.0,646.0,16633.600000000002
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BROOKE EL,06/01/2018 12:00:00 AM,226.0,226.0,0.0,0.0,184478.38999999996
2017-2018,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,BROOKHOLLOW EL,06/01/2018 12:00:00 AM,482.0,165.0,51.0,266.0,127007.86
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BRYKER WOODS EL,05/01/2018 12:00:00 AM,460.0,32.0,9.0,419.0,21996.699999999997
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BURNET MIDDLE,05/01/2018 12:00:00 AM,1000.0,843.0,52.0,104.0,472773.05
2017-2018,1249,TEXAS JUVENILE JUSTICE DEPARTMENT,TRAVIS,Government Agency,RCCI,Brownwood Halfway House,06/01/2018 12:00:00 AM,12.0,12.0,0.0,0.0,9941.22
2017-2018,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,CALDWELL ELEMENTARY,06/01/2018 12:00:00 AM,656.0,302.0,80.0,274.0,230433.42
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CAMPBELL EL,05/01/2018 12:00:00 AM,197.0,163.0,10.0,25.0,128509.63999999998
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CASEY EL,05/01/2018 12:00:00 AM,622.0,346.0,65.0,211.0,263635.48
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CASIS EL,05/01/2018 12:00:00 AM,770.0,32.0,2.0,736.0,20219.96
2017-2018,1071,EANES ISD,TRAVIS,Educational Institution,Public,CEDAR CREEK EL,05/01/2018 12:00:00 AM,518.0,18.0,2.0,498.0,16612.99
2017-2018,1061,CEDARS INTERNATIONAL ACADEMY,TRAVIS,Educational Institution,Charter,CEDARS ACADEMY NEXT GENERATION H S AT HIGHLAND,06/01/2018 12:00:00 AM,116.0,78.0,8.0,30.0,69424.95000000001
2017-2018,1061,CEDARS INTERNATIONAL ACADEMY,TRAVIS,Educational Institution,Charter,CEDARS INTERNATIONAL ACADEMY,06/01/2018 12:00:00 AM,393.0,328.0,15.0,50.0,301708.76999999996
2017-2018,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,CELE M S,06/01/2018 12:00:00 AM,1080.0,354.0,97.0,629.0,272959.15
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CLAYTON EL,05/01/2018 12:00:00 AM,844.0,11.0,3.0,831.0,21077.75
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,COOK EL,05/01/2018 12:00:00 AM,467.0,404.0,20.0,44.0,264490.67000000004
2017-2018,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,COPPERFIELD EL,06/01/2018 12:00:00 AM,417.0,282.0,46.0,89.0,267820.26
2017-2018,1249,TEXAS JUVENILE JUSTICE DEPARTMENT,TRAVIS,Government Agency,RCCI,COTTRELL HOUSE,06/01/2018 12:00:00 AM,32.0,32.0,0.0,0.0,37689.64
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,COVINGTON MIDDLE,05/01/2018 12:00:00 AM,662.0,335.0,60.0,266.0,190215.23
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,COWAN ELEMENTARY,05/01/2018 12:00:00 AM,850.0,241.0,52.0,557.0,139389.96
2017-2018,1072,DEL VALLE ISD,TRAVIS,Educational Institution,Public,CREEDMOOR EL,06/01/2018 12:00:00 AM,653.0,526.0,58.0,69.0,473978.99999999994
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CROCKETT H S,06/01/2018 12:00:00 AM,1346.0,751.0,112.0,483.0,290884.5
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CUNNINGHAM EL,05/01/2018 12:00:00 AM,401.0,232.0,28.0,142.0,143094.34000000003
2017-2018,1368,SOUTHWEST KEY PROGRAMS INC.,TRAVIS,Private Non Profit Organization,RCCI,Casa Antigua - San Benito,06/01/2018 12:00:00 AM,179.0,179.0,0.0,0.0,340004.33999999997
2017-2018,1368,SOUTHWEST KEY PROGRAMS INC.,TRAVIS,Private Non Profit Organization,RCCI,Casa Grande - San Benito,06/01/2018 12:00:00 AM,140.0,140.0,0.0,0.0,287473.03
2017-2018,1368,SOUTHWEST KEY PROGRAMS INC.,TRAVIS,Private Non Profit Organization,RCCI,Casa Montezuma,06/01/2018 12:00:00 AM,142.0,142.0,0.0,0.0,276912.64
2017-2018,1368,SOUTHWEST KEY PROGRAMS INC.,TRAVIS,Private Non Profit Organization,RCCI,Casa Padre,06/01/2018 12:00:00 AM,591.0,591.0,0.0,0.0,1076904.5499999998
2017-2018,1368,SOUTHWEST KEY PROGRAMS INC.,TRAVIS,Private Non Profit Organization,RCCI,Casa Quetzal - Houston,06/01/2018 12:00:00 AM,171.0,171.0,0.0,0.0,350266.65
2017-2018,1072,DEL VALLE ISD,TRAVIS,Educational Institution,Public,DAILEY MIDDLE,06/01/2018 12:00:00 AM,693.0,538.0,71.0,84.0,439008.03
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DAVIS EL,05/01/2018 12:00:00 AM,798.0,192.0,30.0,576.0,85522.36
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DAWSON EL,06/01/2018 12:00:00 AM,328.0,228.0,21.0,79.0,206692.96
2017-2018,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,DEARING ELEMENTARY,06/01/2018 12:00:00 AM,585.0,225.0,48.0,312.0,181793.47000000003
2017-2018,1070,MANOR ISD,TRAVIS,Educational Institution,Public,DECKER ELEMENTARY,05/01/2018 12:00:00 AM,479.0,479.0,0.0,0.0,334731.43000000005
2017-2018,1070,MANOR ISD,TRAVIS,Educational Institution,Public,DECKER MIDDLE SCHOOL,05/01/2018 12:00:00 AM,760.0,545.0,65.0,150.0,346319.46
2017-2018,1072,DEL VALLE ISD,TRAVIS,Educational Institution,Public,DEL VALLE ELEMENTARY,06/01/2018 12:00:00 AM,818.0,568.0,116.0,134.0,532640.95
2017-2018,1072,DEL VALLE ISD,TRAVIS,Educational Institution,Public,DEL VALLE H S,06/01/2018 12:00:00 AM,3163.0,2140.0,323.0,700.0,1183166.47
2017-2018,1072,DEL VALLE ISD,TRAVIS,Educational Institution,Public,DEL VALLE J H,06/01/2018 12:00:00 AM,997.0,700.0,109.0,188.0,558218.86
2017-2018,1072,DEL VALLE ISD,TRAVIS,Educational Institution,Public,DEL VALLE OPPORTUNITY CTR,06/01/2018 12:00:00 AM,415.0,149.0,12.0,254.0,58159.84
