ProgramYear,CEID,CEName,CECounty,TypeOfAgency,TypeOfSNPOrg,SiteName,ClaimDate,EnrollmentQty,FreeEligibleQty,ReducedEligibleQty,PaidEligibleQty,TotalReimbursement
2017-2018,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,DELCO PRIMARY,06/01/2018 12:00:00 AM,714.0,534.0,62.0,118.0,454974.75999999995
2017-2018,1398,The SAFE Alliance,TRAVIS,Private Non Profit Organization,RCCI,DELL COTTAGE,06/01/2018 12:00:00 AM,14.0,14.0,0.0,0.0,24884.980000000003
2017-2018,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,DESSAU EL,06/01/2018 12:00:00 AM,621.0,441.0,75.0,105.0,404193.43000000005
2017-2018,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,DESSAU MIDDLE SCHOOL,06/01/2018 12:00:00 AM,855.0,588.0,96.0,171.0,397643.56000000006
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DILL SPECIAL PROG,11/01/2017 12:00:00 AM,0.0,0.0,0.0,0.0,0.0
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DOBIE MIDDLE,05/01/2018 12:00:00 AM,614.0,506.0,36.0,72.0,279231.98000000004
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DOBIE PK CENTER,05/01/2018 12:00:00 AM,215.0,215.0,0.0,0.0,160230.84000000003
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,DOSS EL,05/01/2018 12:00:00 AM,832.0,105.0,26.0,700.0,76492.16
2017-2018,1071,EANES ISD,TRAVIS,Educational Institution,Public,EANES EL,05/01/2018 12:00:00 AM,631.0,8.0,5.0,618.0,13640.349999999999
2017-2018,1067,EAST AUSTIN COLLEGE PREP ACADEMY,TRAVIS,Educational Institution,Charter,EAST AUSTIN COLLEGE PREP ACADEMY,06/01/2018 12:00:00 AM,124.0,106.0,0.0,18.0,86446.75
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,EASTSIDE MEMORIAL AT THE JOHNSTON CAMPUS,05/01/2018 12:00:00 AM,494.0,375.0,51.0,68.0,165552.80000000002
2017-2018,1249,TEXAS JUVENILE JUSTICE DEPARTMENT,TRAVIS,Government Agency,RCCI,EVINS REGIONAL JUVENILE CENTER,06/01/2018 12:00:00 AM,137.0,137.0,0.0,0.0,230926.2
2017-2018,1070,MANOR ISD,TRAVIS,Educational Institution,Public,EXCEL HIGH SCHOOL,05/01/2018 12:00:00 AM,82.0,82.0,0.0,0.0,31336.24
2017-2018,1368,SOUTHWEST KEY PROGRAMS INC.,TRAVIS,Private Non Profit Organization,RCCI,El Presidente - Brownsville,06/01/2018 12:00:00 AM,66.0,66.0,0.0,0.0,122265.02000000002
2017-2018,1071,EANES ISD,TRAVIS,Educational Institution,Public,FOREST TRAIL EL,05/01/2018 12:00:00 AM,575.0,12.0,0.0,563.0,12855.619999999997
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,FULMORE MIDDLE,05/01/2018 12:00:00 AM,1002.0,582.0,58.0,363.0,259986.90000000002
2017-2018,1249,TEXAS JUVENILE JUSTICE DEPARTMENT,TRAVIS,Government Agency,RCCI,GAINESVILLE STATE SCHOOL,06/01/2018 12:00:00 AM,239.0,239.0,0.0,0.0,424310.58
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GALINDO EL,06/01/2018 12:00:00 AM,527.0,454.0,28.0,45.0,337669.27
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GARCIA YMLA,06/01/2018 12:00:00 AM,371.0,304.0,26.0,41.0,257255.21999999997
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GARZA HIGH SCHOOL,06/01/2018 12:00:00 AM,174.0,52.0,6.0,116.0,17566.320000000003
2017-2018,1249,TEXAS JUVENILE JUSTICE DEPARTMENT,TRAVIS,Government Agency,RCCI,GIDDINGS STATE SCHOOL,06/01/2018 12:00:00 AM,248.0,248.0,0.0,0.0,430488.31000000006
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GORZYCKI MIDDLE SCHOOL,05/01/2018 12:00:00 AM,1277.0,55.0,8.0,1214.0,31498.13
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GOVALLE EL,06/01/2018 12:00:00 AM,377.0,377.0,0.0,0.0,283240.38
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GRAHAM EL,05/01/2018 12:00:00 AM,627.0,466.0,45.0,117.0,292763.59
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GUERRERO THOMPSON,05/01/2018 12:00:00 AM,653.0,587.0,34.0,32.0,474342.88000000006
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,GULLETT EL,05/01/2018 12:00:00 AM,572.0,49.0,7.0,517.0,26213.07
2017-2018,1060,HARMONY PUBLIC SCHOOLS,TRAVIS,Educational Institution,Charter,HARMONY SCHOOL OF EXCELLENCE-AUSTIN,06/01/2018 12:00:00 AM,576.0,510.0,0.0,66.0,137232.15
2017-2018,1060,HARMONY PUBLIC SCHOOLS,TRAVIS,Educational Institution,Charter,HARMONY SCHOOL OF INNOVATION - AUSTIN,06/01/2018 12:00:00 AM,431.0,382.0,0.0,49.0,161645.22999999998
2017-2018,1060,HARMONY PUBLIC SCHOOLS,TRAVIS,Educational Institution,Charter,HARMONY SCHOOL OF POLITICAL SCIENCE & COMMUNICATION-Austin,05/01/2018 12:00:00 AM,408.0,160.0,25.0,224.0,40293.35
2017-2018,1060,HARMONY PUBLIC SCHOOLS,TRAVIS,Educational Institution,Charter,HARMONY SCHOOL OF SCIENCE-AUSTIN,05/01/2018 12:00:00 AM,511.0,204.0,45.0,261.0,112368.95
2017-2018,1060,HARMONY PUBLIC SCHOOLS,TRAVIS,Educational Institution,Charter,HARMONY SCIENCE ACADEMY-AUSTIN,05/01/2018 12:00:00 AM,616.0,545.0,0.0,70.0,286066.02
2017-2018,1060,HARMONY PUBLIC SCHOOLS,TRAVIS,Educational Institution,Charter,HARMONY SCIENCE ACADEMY-NORTH AUSTIN,06/01/2018 12:00:00 AM,945.0,471.0,91.0,383.0,172257.30999999997
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HARRIS EL,05/01/2018 12:00:00 AM,617.0,617.0,0.0,0.0,472175.26
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HART ELEMENTARY,05/01/2018 12:00:00 AM,699.0,604.0,42.0,53.0,512321.43999999994
2017-2018,1286,HELPING HAND HOME FOR CHILDREN INC,TRAVIS,Private Non Profit Organization,RCCI,HELPING HAND HOME FOR CHILDREN,06/01/2018 12:00:00 AM,41.0,41.0,0.0,0.0,70029.75
2017-2018,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,HENDRICKSON HS,06/01/2018 12:00:00 AM,2639.0,634.0,215.0,1790.0,308206.63999999996
2017-2018,1368,SOUTHWEST KEY PROGRAMS INC.,TRAVIS,Private Non Profit Organization,RCCI,HIDALGO COUNTY LEARNING CENTER,05/01/2018 12:00:00 AM,32.0,28.0,2.0,2.0,22786.239999999998
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HIGHLAND PARK EL,06/01/2018 12:00:00 AM,650.0,95.0,39.0,516.0,149328.86
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HILL EL,05/01/2018 12:00:00 AM,964.0,87.0,9.0,868.0,63043.25
2017-2018,1072,DEL VALLE ISD,TRAVIS,Educational Institution,Public,HILLCREST EL,06/01/2018 12:00:00 AM,582.0,518.0,29.0,34.0,420964.04
2017-2018,1072,DEL VALLE ISD,TRAVIS,Educational Institution,Public,HORNSBY-DUNLAP EL,06/01/2018 12:00:00 AM,592.0,449.0,61.0,82.0,428037.2
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,HOUSTON EL,06/01/2018 12:00:00 AM,584.0,507.0,35.0,42.0,414891.67
2017-2018,1060,HARMONY PUBLIC SCHOOLS,TRAVIS,Educational Institution,Charter,Harmony Science Academy - Cedar Park,05/01/2018 12:00:00 AM,443.0,126.0,17.0,300.0,45314.25
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,INTERNATIONAL HIGH SCHOOL,05/01/2018 12:00:00 AM,211.0,180.0,14.0,18.0,124120.16000000002
2017-2018,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,JOHN B CONNALLY H S,06/01/2018 12:00:00 AM,1846.0,1062.0,217.0,567.0,501922.33999999997
2017-2018,1072,DEL VALLE ISD,TRAVIS,Educational Institution,Public,JOHN P OJEDA JR HIGH,06/01/2018 12:00:00 AM,932.0,740.0,82.0,109.0,520744.08
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,JORDAN EL,06/01/2018 12:00:00 AM,604.0,535.0,35.0,34.0,371380.76
2017-2018,1072,DEL VALLE ISD,TRAVIS,Educational Institution,Public,JOSEPH GILBERT EL,06/01/2018 12:00:00 AM,649.0,507.0,75.0,67.0,480868.1
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,JOSLIN EL,05/01/2018 12:00:00 AM,275.0,186.0,11.0,78.0,122121.53999999998
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,KEALING M S,05/01/2018 12:00:00 AM,1221.0,335.0,48.0,838.0,181427.19999999998
2017-2018,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,KELLY LANE M S,06/01/2018 12:00:00 AM,1095.0,154.0,61.0,880.0,109155.84999999999
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,KIKER EL,05/01/2018 12:00:00 AM,1122.0,53.0,6.0,1063.0,36670.439999999995
2017-2018,1064,KIPP TEXAS PUBLIC SCHOOLS,TRAVIS,Educational Institution,Charter,KIPP AUSTIN ACADEMY OF ARTS & LETTERS,05/01/2018 12:00:00 AM,458.0,336.0,68.0,53.0,384421.11
2017-2018,1064,KIPP TEXAS PUBLIC SCHOOLS,TRAVIS,Educational Institution,Charter,KIPP AUSTIN BEACON PREP,05/01/2018 12:00:00 AM,459.0,336.0,70.0,53.0,303381.53
2017-2018,1064,KIPP TEXAS PUBLIC SCHOOLS,TRAVIS,Educational Institution,Charter,KIPP AUSTIN COLLEGE PREP,05/01/2018 12:00:00 AM,437.0,340.0,53.0,44.0,370121.79000000004
2017-2018,1064,KIPP TEXAS PUBLIC SCHOOLS,TRAVIS,Educational Institution,Charter,KIPP AUSTIN COLLEGIATE,05/01/2018 12:00:00 AM,716.0,524.0,102.0,89.0,406543.98
2017-2018,1064,KIPP TEXAS PUBLIC SCHOOLS,TRAVIS,Educational Institution,Charter,KIPP AUSTIN COMUNIDAD,06/01/2018 12:00:00 AM,603.0,453.0,67.0,83.0,442483.45
2017-2018,1064,KIPP TEXAS PUBLIC SCHOOLS,TRAVIS,Educational Institution,Charter,KIPP AUSTIN CONNECTIONS EL,06/01/2018 12:00:00 AM,601.0,410.0,91.0,99.0,421157.31
2017-2018,1064,KIPP TEXAS PUBLIC SCHOOLS,TRAVIS,Educational Institution,Charter,KIPP AUSTIN LEADERSHIP,06/01/2018 12:00:00 AM,550.0,425.0,62.0,63.0,429528.61000000004
2017-2018,1064,KIPP TEXAS PUBLIC SCHOOLS,TRAVIS,Educational Institution,Charter,KIPP AUSTIN OBRAS,06/01/2018 12:00:00 AM,595.0,412.0,90.0,94.0,418874.6800000001
2017-2018,1064,KIPP TEXAS PUBLIC SCHOOLS,TRAVIS,Educational Institution,Charter,KIPP AUSTIN VISTA M S,05/01/2018 12:00:00 AM,429.0,326.0,54.0,48.0,319345.73000000004
2017-2018,1064,KIPP TEXAS PUBLIC SCHOOLS,TRAVIS,Educational Institution,Charter,KIPP Austin Brave,05/01/2018 12:00:00 AM,375.0,269.0,57.0,49.0,231823.08000000002
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,KOCUREK EL,05/01/2018 12:00:00 AM,576.0,350.0,45.0,182.0,199149.90000000002
2017-2018,1229,LUTHERAN SOCIAL SERVICES OF THE SOUTH INC,TRAVIS,Private Non Profit Organization,RCCI,KRAUSE RESIDENTIAL TREATMENT CENTER-Katy,06/01/2018 12:00:00 AM,66.0,66.0,0.0,0.0,121210.58000000002
2017-2018,1398,The SAFE Alliance,TRAVIS,Private Non Profit Organization,RCCI,KUTSCHER-KOTRLA COTTAGE,06/01/2018 12:00:00 AM,14.0,14.0,0.0,0.0,23016.78
2017-2018,1073,LAGO VISTA ISD,TRAVIS,Educational Institution,Public,LAGO VISTA EL,05/01/2018 12:00:00 AM,408.0,114.0,13.0,281.0,68486.84
2017-2018,1073,LAGO VISTA ISD,TRAVIS,Educational Institution,Public,LAGO VISTA H S,05/01/2018 12:00:00 AM,440.0,82.0,13.0,345.0,35507.549999999996
2017-2018,1073,LAGO VISTA ISD,TRAVIS,Educational Institution,Public,LAGO VISTA INT,05/01/2018 12:00:00 AM,248.0,66.0,12.0,170.0,41578.740000000005
2017-2018,1073,LAGO VISTA ISD,TRAVIS,Educational Institution,Public,LAGO VISTA MIDDLE,05/01/2018 12:00:00 AM,380.0,80.0,15.0,285.0,50574.420000000006
2017-2018,1070,MANOR ISD,TRAVIS,Educational Institution,Public,LAGOS EL,05/01/2018 12:00:00 AM,397.0,223.0,61.0,114.0,189899.85
2017-2018,1074,LAKE TRAVIS ISD,TRAVIS,Educational Institution,Public,LAKE POINTE ELEMENTARY,06/01/2018 12:00:00 AM,748.0,25.0,10.0,713.0,26484.65
2017-2018,1074,LAKE TRAVIS ISD,TRAVIS,Educational Institution,Public,LAKE TRAVIS EL,06/01/2018 12:00:00 AM,908.0,357.0,65.0,486.0,230582.91999999998
2017-2018,1074,LAKE TRAVIS ISD,TRAVIS,Educational Institution,Public,LAKEWAY EL,06/01/2018 12:00:00 AM,682.0,35.0,4.0,643.0,32114.910000000003
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,LAMAR MIDDLE,05/01/2018 12:00:00 AM,1132.0,220.0,35.0,877.0,82704.54000000001
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,LANGFORD EL,06/01/2018 12:00:00 AM,502.0,425.0,41.0,36.0,395068.13
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,LANIER H S,05/01/2018 12:00:00 AM,1604.0,1276.0,94.0,235.0,464680.64999999997
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,LASA HIGH SCHOOL,05/01/2018 12:00:00 AM,1179.0,78.0,22.0,1078.0,33442.740000000005
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,LBJ HIGH SCHOOL,05/01/2018 12:00:00 AM,793.0,553.0,56.0,184.0,182769.89
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,LEE EL,05/01/2018 12:00:00 AM,445.0,56.0,11.0,378.0,39875.55
2017-2018,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,LINDER EL,05/01/2018 12:00:00 AM,319.0,275.0,18.0,26.0,224135.18
2017-2018,4943,MONTESSORI FOR ALL Inc.,TRAVIS,Educational Institution,Charter,MAGNOLIA MONTESSORI FOR ALL,05/01/2018 12:00:00 AM,461.0,158.0,41.0,262.0,89483.13
2017-2018,1070,MANOR ISD,TRAVIS,Educational Institution,Public,MANOR ELEMENTARY,05/01/2018 12:00:00 AM,324.0,231.0,47.0,46.0,180621.48
2017-2018,1070,MANOR ISD,TRAVIS,Educational Institution,Public,MANOR H S,05/01/2018 12:00:00 AM,1830.0,1193.0,180.0,458.0,713988.29
2017-2018,1070,MANOR ISD,TRAVIS,Educational Institution,Public,MANOR J H,05/01/2018 12:00:00 AM,702.0,512.0,58.0,133.0,331196.7
