ProgramYear,CEID,CEName,CECounty,TypeOfAgency,TypeOfSNPOrg,SiteName,ClaimDate,EnrollmentQty,FreeEligibleQty,ReducedEligibleQty,PaidEligibleQty,TotalReimbursement
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,AKINS H S,06/01/2016 12:00:00 AM,2673.0,1498.0,332.0,842.0,687826.59
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ALLISON EL,06/01/2016 12:00:00 AM,529.0,470.0,32.0,26.0,312450.55000000005
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ALTERNATIVE LEARNING CTR,06/01/2016 12:00:00 AM,155.0,124.0,6.0,25.0,79520.88
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ANDERSON H S,06/01/2016 12:00:00 AM,2259.0,472.0,95.0,1692.0,200577.49
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ANDREWS EL,06/01/2016 12:00:00 AM,588.0,545.0,17.0,26.0,387794.56000000006
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,ANN RICHARDS SCHOOL FOR YOUNG WOMEN LEADERS,06/01/2016 12:00:00 AM,784.0,373.0,88.0,323.0,208084.54
2015-2016,4199,AUSTIN ACHIEVE PUBLIC SCHOOLS INC.,TRAVIS,Educational Institution,Charter,AUSTIN ACHIEVE-- PUBLIC SCHOOL,06/01/2016 12:00:00 AM,540.0,459.0,41.0,40.0,274088.0
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,AUSTIN H S,06/01/2016 12:00:00 AM,2061.0,513.0,123.0,1425.0,204362.95
2015-2016,1249,TEXAS JUVENILE JUSTICE DEPARTMENT,TRAVIS,Government Agency,RCCI,AYERS HOUSE,06/01/2016 12:00:00 AM,28.0,28.0,0.0,0.0,27320.37
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BAILEY MIDDLE,06/01/2016 12:00:00 AM,880.0,196.0,61.0,622.0,111990.31999999999
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BALDWIN ELEMENTARY,06/01/2016 12:00:00 AM,791.0,94.0,17.0,681.0,66625.89
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARANOFF EL,06/01/2016 12:00:00 AM,991.0,95.0,33.0,863.0,69091.97000000002
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARRINGTON EL,06/01/2016 12:00:00 AM,638.0,578.0,26.0,34.0,408612.70999999996
2015-2016,1071,EANES ISD,TRAVIS,Educational Institution,Public,BARTON CREEK EL,05/01/2016 12:00:00 AM,504.0,3.0,0.0,501.0,7247.159999999999
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BARTON HILLS EL,06/01/2016 12:00:00 AM,410.0,30.0,3.0,377.0,25483.39
2015-2016,1072,DEL VALLE ISD,TRAVIS,Educational Institution,Public,BATY EL,06/01/2016 12:00:00 AM,784.0,697.0,35.0,53.0,551904.74
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BECKER EL,06/01/2016 12:00:00 AM,392.0,173.0,5.0,214.0,105651.82
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BEDICHEK MIDDLE,06/01/2016 12:00:00 AM,912.0,653.0,104.0,156.0,330883.79
2015-2016,1074,LAKE TRAVIS ISD,TRAVIS,Educational Institution,Public,BEE CAVE ELEMENTARY,06/01/2016 12:00:00 AM,644.0,32.0,6.0,607.0,29710.21
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLACKSHEAR EL,06/01/2016 12:00:00 AM,301.0,228.0,20.0,54.0,154819.93
2015-2016,1070,MANOR ISD,TRAVIS,Educational Institution,Public,BLAKE MANOR ELEMENTARY,06/01/2016 12:00:00 AM,694.0,532.0,58.0,104.0,358573.48
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLANTON EL,06/01/2016 12:00:00 AM,491.0,381.0,22.0,88.0,249804.77
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BLAZIER ELEMENTARY SCHOOL,06/01/2016 12:00:00 AM,860.0,539.0,108.0,213.0,384523.57
2015-2016,1070,MANOR ISD,TRAVIS,Educational Institution,Public,BLUEBONNET TRAIL EL,06/01/2016 12:00:00 AM,547.0,335.0,39.0,173.0,238351.87999999998
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BOONE EL,06/01/2016 12:00:00 AM,574.0,240.0,41.0,293.0,172552.61
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BOWIE H S,06/01/2016 12:00:00 AM,2902.0,295.0,104.0,2503.0,127119.5
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BRENTWOOD EL,06/01/2016 12:00:00 AM,619.0,142.0,27.0,449.0,85060.72000000002
2015-2016,1071,EANES ISD,TRAVIS,Educational Institution,Public,BRIDGE POINT EL,05/01/2016 12:00:00 AM,741.0,8.0,3.0,729.0,15443.53
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BROOKE EL,06/01/2016 12:00:00 AM,262.0,228.0,19.0,15.0,157767.65000000002
2015-2016,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,BROOKHOLLOW EL,06/01/2016 12:00:00 AM,461.0,181.0,44.0,236.0,136374.03000000003
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BRYKER WOODS EL,06/01/2016 12:00:00 AM,401.0,33.0,7.0,362.0,23665.61
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,BURNET MIDDLE,06/01/2016 12:00:00 AM,1054.0,933.0,53.0,68.0,537040.48
2015-2016,1249,TEXAS JUVENILE JUSTICE DEPARTMENT,TRAVIS,Government Agency,RCCI,Brownwood Halfway House,06/01/2016 12:00:00 AM,10.0,10.0,0.0,0.0,9842.859999999999
2015-2016,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,CALDWELL ELEMENTARY,06/01/2016 12:00:00 AM,710.0,285.0,84.0,341.0,221216.72000000003
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CAMPBELL EL,06/01/2016 12:00:00 AM,217.0,190.0,12.0,15.0,139836.03999999998
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CASEY EL,06/01/2016 12:00:00 AM,615.0,338.0,63.0,215.0,249767.20000000004
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CASIS EL,06/01/2016 12:00:00 AM,799.0,19.0,5.0,774.0,14478.26
2015-2016,1071,EANES ISD,TRAVIS,Educational Institution,Public,CEDAR CREEK EL,05/01/2016 12:00:00 AM,480.0,7.0,2.0,471.0,14030.759999999998
2015-2016,1061,CEDARS INTERNATIONAL ACADEMY,TRAVIS,Educational Institution,Charter,CEDARS INTERNATIONAL ACADEMY,06/01/2016 12:00:00 AM,393.0,322.0,35.0,37.0,208451.61999999997
2015-2016,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,CELE M S,06/01/2016 12:00:00 AM,843.0,302.0,79.0,463.0,239699.28000000003
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,CLAYTON EL,06/01/2016 12:00:00 AM,877.0,13.0,2.0,862.0,24706.95
2015-2016,1068,AUSTIN ISD,TRAVIS,Educational Institution,Public,COOK EL,06/01/2016 12:00:00 AM,552.0,507.0,28.0,18.0,334320.95
2015-2016,1069,PFLUGERVILLE ISD,TRAVIS,Educational Institution,Public,COPPERFIELD EL,06/01/2016 12:00:00 AM,471.0,319.0,39.0,113.0,290062.62
2015-2016,1398,The SAFE Alliance,TRAVIS,Private Non Profit Organization,RCCI,COTTAGE F,12/01/2015 12:00:00 AM,8.0,8.0,0.0,0.0,1069.92
2015-2016,1249,TEXAS JUVENILE JUSTICE DEPARTMENT,TRAVIS,Government Agency,RCCI,COTTRELL HOUSE,06/01/2016 12:00:00 AM,27.0,27.0,0.0,0.0,23603.249999999996
