Campus_Name,Lat,Lng,Address,Zipcode
JORDAN EL,30.3010887,-97.6467738,"6711 Johnny Morris Rd, Austin, TX 78724, USA",78724
JOSLIN EL,30.2278837,-97.7901739,"4500 Manchaca Rd, Austin, TX 78745, USA",78745
KEALING M S,30.2710259,-97.7217655,"1607 Pennsylvania Ave, Austin, TX 78702, USA",78702
KIKER EL,30.1913889,-97.8813889,"5913 La Crosse Ave, Austin, TX 78739, USA",78739
KOCUREK EL,30.1780215,-97.8350106,"9800 Curlew Dr, Austin, TX 78748, USA",78748
LAMAR M S,30.3377874,-97.7405977,"6201 Wynona Ave, Austin, TX 78757, USA",78757
LANGFORD EL,30.182306,-97.7633055,"2206 Blue Meadow Dr, Austin, TX 78744, USA",78744
LANIER H S,30.3602094,-97.7083219,"1201 Payton Gin Rd, Austin, TX 78758, USA",78758
LASA H S,30.313549,-97.656741,"7309 Lazy Creek Dr, Austin, TX 78724, USA",78724
LBJ HIGH SCHOOL,30.313495,-97.656667,"7309 Lazy Creek Dr, Austin, TX 78724, USA",78724
LEE EL,30.2931723,-97.7272036,"3308 Hampton Rd, Austin, TX 78705, USA",78705
LINDER EL,30.2242083,-97.7379358,"2800 Metcalfe Rd, Austin, TX 78741, USA",78741
MAPLEWOOD EL,30.293337,-97.714901,"3808 Maplewood Ave, Austin, TX 78722, USA",78722
MARTIN M S,30.2533229,-97.7305357,"1601 Haskell St, Austin, TX 78702, USA",78702
MATHEWS EL,30.2782568,-97.7608973,"906 W Lynn St, Austin, TX 78703, USA",78703
MCBEE EL,30.3833361,-97.6910859,"1001 W Braker Ln, Austin, TX 78758, USA",78758
MCCALLUM H S,30.3256574,-97.7303003,"5600 Sunshine Dr, Austin, TX 78756, USA",78756
MENCHACA EL,30.1408735,-97.8368854,"1218 West, Farm to Market 1626, Manchaca, TX 78652, USA",78652
MENDEZ M S,30.188675,-97.743119,"5106 Village Square Dr, Austin, TX 78744, USA",78744
METZ EL,30.2543606,-97.7216241,"84 Robert T Martinez Jr St, Austin, TX 78702, USA",78702
MILLS EL,30.2109429,-97.8784053,"6201 Davis Ln, Austin, TX 78749, USA",78749
MURCHISON M S,30.3540274,-97.7586065,"3700 N Hills Dr, Austin, TX 78731, USA",78731
NORMAN EL,30.2783251,-97.6739718,"4001 Tannehill Ln, Austin, TX 78721, USA",78721
O HENRY M S,30.2854914,-97.7737553,"2610 W 10th St, Austin, TX 78703, USA",78703
