Campus_Name,Campus_Number,Lat,Lng,Address,Zipcode
JORDAN EL,227901178.0,30.301088699999998,-97.6467738,"6711 Johnny Morris Rd, Austin, TX 78724, USA",78724
JOSLIN EL,227901120.0,30.2278837,-97.7901739,"4500 Manchaca Rd, Austin, TX 78745, USA",78745
KEALING M S,227901044.0,30.271025899999998,-97.7217655,"1607 Pennsylvania Ave, Austin, TX 78702, USA",78702
KIKER EL,227901180.0,30.191388899999996,-97.8813889,"5913 La Crosse Ave, Austin, TX 78739, USA",78739
KOCUREK EL,227901172.0,30.178021500000003,-97.83501059999999,"9800 Curlew Dr, Austin, TX 78748, USA",78748
LAMAR M S,227901045.0,30.3377874,-97.74059770000001,"6201 Wynona Ave, Austin, TX 78757, USA",78757
LANGFORD EL,227901168.0,30.182306,-97.7633055,"2206 Blue Meadow Dr, Austin, TX 78744, USA",78744
LANIER H S,227901004.0,30.3602094,-97.7083219,"1201 Payton Gin Rd, Austin, TX 78758, USA",78758
LASA H S,227901018.0,30.313549,-97.656741,"7309 Lazy Creek Dr, Austin, TX 78724, USA",78724
LBJ HIGH SCHOOL,227901014.0,30.313495,-97.656667,"7309 Lazy Creek Dr, Austin, TX 78724, USA",78724
LEE EL,227901121.0,30.2931723,-97.7272036,"3308 Hampton Rd, Austin, TX 78705, USA",78705
LINDER EL,227901160.0,30.224208299999997,-97.7379358,"2800 Metcalfe Rd, Austin, TX 78741, USA",78741
MAPLEWOOD EL,227901122.0,30.293337,-97.714901,"3808 Maplewood Ave, Austin, TX 78722, USA",78722
MARTIN M S,227901051.0,30.2533229,-97.7305357,"1601 Haskell St, Austin, TX 78702, USA",78702
MATHEWS EL,227901123.0,30.2782568,-97.7608973,"906 W Lynn St, Austin, TX 78703, USA",78703
MCBEE EL,227901165.0,30.383336100000005,-97.6910859,"1001 W Braker Ln, Austin, TX 78758, USA",78758
MCCALLUM H S,227901005.0,30.325657399999997,-97.7303003,"5600 Sunshine Dr, Austin, TX 78756, USA",78756
MENCHACA EL,227901147.0,30.140873499999998,-97.8368854,"1218 West, Farm to Market 1626, Manchaca, TX 78652, USA",78652
MENDEZ M S,227901058.0,30.188675,-97.743119,"5106 Village Square Dr, Austin, TX 78744, USA",78744
METZ EL,227901124.0,30.254360600000002,-97.72162409999999,"84 Robert T Martinez Jr St, Austin, TX 78702, USA",78702
MILLS EL,227901181.0,30.2109429,-97.8784053,"6201 Davis Ln, Austin, TX 78749, USA",78749
MURCHISON M S,227901052.0,30.354027399999996,-97.7586065,"3700 N Hills Dr, Austin, TX 78731, USA",78731
NORMAN EL,227901150.0,30.2783251,-97.6739718,"4001 Tannehill Ln, Austin, TX 78721, USA",78721
O HENRY M S,227901047.0,30.285491399999998,-97.77375529999999,"2610 W 10th St, Austin, TX 78703, USA",78703
OAK HILL EL,227901148.0,30.2379909,-97.8587606,"6101 Patton Ranch Rd, Austin, TX 78735, USA",78735
OAK SPRINGS EL,227901125.0,30.271914600000002,-97.7045468,"3601 Webberville Rd, Austin, TX 78702, USA",78702
ODOM EL,227901156.0,30.205882199999998,-97.7893442,"1010 Turtle Creek Blvd, Austin, TX 78745, USA",78745
ORTEGA EL,227901126.0,30.2699717,-97.6842751,"1135 Garland Ave, Austin, TX 78721, USA",78721
OVERTON EL,227901189.0,30.300594800000002,-97.6357462,"7201 Colony Loop Dr, Austin, TX 78724, USA",78724
PADRON EL,227901188.0,30.3737197,-97.7196559,"2011 W Rundberg Ln, Austin, TX 78758, USA",78758
PALM EL,227901171.0,30.164824100000004,-97.7436728,"7601 Dixie Dr, Austin, TX 78744, USA",78744
PAREDES M S,227901061.0,30.167127100000002,-97.8112954,"10100 S Mary Moore Searight Dr, Austin, TX 78748, USA",78748
