CAMPUS,C200A001S17R,C200AM01S17R,C200AR01S17R,C300A001S17R,C300AM01S17R,C300AR01S17R,C400A001S17R,C400AM01S17R,C400AR01S17R,CA00A001S17R,CA00AM01S17R,CA00AR01S17R,CB00A001S17R,CB00AM01S17R,CB00AR01S17R,CE00A001S17R,CE00AM01S17R,CE00AR01S17R,CF00A001S17R,CF00AM01S17R,CF00AR01S17R,CH00A001S17R,CH00AM01S17R,CH00AR01S17R,CI00A001S17R,CI00AM01S17R,CI00AR01S17R,CL00A001S17R,CL00AM01S17R,CL00AR01S17R,CM00A001S17R,CM00AM01S17R,CM00AR01S17R,CR00A001S17R,CR00AM01S17R,CR00AR01S17R,CS00A001S17R,CS00AM01S17R,CS00AR01S17R,CW00A001S17R,CW00AM01S17R,CW00AR01S17R
'227806015,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,-1,.,-1,.,.,.,-1,.,-1,.,.,.,.,.,.,-1,.,-1,-1,.,-1,.,.,.,.,.,.
'227806017,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.
'227806023,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806024,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'227806025,.,.,.,.,.,.,.,.,.,30,38,-1,30,50,-1,30,38,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,34,50,-1,30,38,-1,-1,-1,-1,-1,.,-1
'227806029,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806030,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806031,100,-1,-1,.,.,.,-1,-1,-1,96,100,96,86,-1,-1,-1,-1,-1,95,100,95,82,-1,-1,-1,-1,-1,.,.,.,100,100,100,.,.,.,-1,-1,-1,100,100,100
'227806032,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806034,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806035,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806037,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806040,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806042,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806043,-1,.,-1,.,.,.,.,.,.,100,.,-1,.,.,.,.,.,.,-1,.,-1,.,.,.,.,.,.,.,.,.,-1,.,.,100,.,-1,-1,.,.,100,.,.
'227806044,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,.,-1,-1,-1,-1,-1,.,-1,.,.,.,.,.,.,.,.,.,-1,.,-1,-1,.,-1,-1,-1,-1
'227806045,.,.,.,.,.,.,-1,.,-1,-1,.,-1,.,.,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,-1,.,-1,.,.,.,.,.,.
'227806046,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806047,.,.,.,.,.,.,.,.,.,100,-1,-1,-1,.,-1,-1,-1,-1,-1,.,-1,-1,.,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1
'227814001,89,89,80,92,93,89,100,-1,-1,96,96,96,92,100,94,.,.,.,97,96,99,97,100,96,-1,-1,-1,67,78,56,95,95,92,77,82,70,68,71,63,97,94,99
'227816001,56,-1,-1,77,79,86,.,.,.,68,76,70,71,76,76,67,75,69,73,79,80,66,76,68,.,.,.,54,64,55,63,73,62,61,72,63,28,38,28,86,75,92
'227816002,82,81,88,93,96,92,.,.,.,83,91,81,88,98,85,80,91,75,85,91,84,77,88,73,-1,-1,-1,59,84,52,81,90,77,71,85,65,60,69,54,90,92,88
'227816003,72,78,78,85,91,82,.,.,.,72,76,73,59,66,63,59,66,60,73,75,76,60,62,59,.,.,.,53,63,53,71,78,71,59,66,61,38,-1,38,87,88,93
'227816004,72,63,70,88,91,88,.,.,.,84,86,86,77,77,83,72,73,73,86,87,87,80,79,81,63,-1,83,60,71,60,82,85,84,69,73,70,51,45,54,88,91,88
'227816005,69,-1,-1,100,-1,-1,.,.,.,71,78,65,71,71,64,68,75,61,72,75,70,69,77,62,.,.,.,65,74,58,69,80,61,63,71,56,40,45,36,87,86,90
'227816101,86,-1,-1,95,100,86,.,.,.,69,77,62,59,67,56,68,77,59,72,80,67,68,76,61,.,.,.,53,69,44,65,74,56,60,72,52,38,43,28,80,91,71
'227817001,-1,-1,-1,94,-1,-1,.,.,.,83,91,84,74,82,79,80,89,83,78,83,86,81,90,84,.,.,.,70,79,74,88,97,81,68,82,67,67,89,-1,97,100,90
'227817101,-1,-1,-1,.,.,.,.,.,.,72,73,74,68,68,68,73,72,76,76,74,79,73,74,75,.,.,.,62,71,61,67,71,69,62,67,63,19,-1,-1,56,-1,-1
'227819101,100,-1,-1,100,-1,-1,.,.,.,73,81,71,73,85,54,70,78,68,79,82,81,69,77,68,.,.,.,66,69,71,69,81,64,70,74,74,21,-1,-1,89,94,94
'227820001,-1,-1,-1,-1,.,-1,.,.,.,77,58,72,71,-1,69,77,56,73,81,50,80,77,53,71,.,.,.,53,54,46,73,61,64,66,52,60,35,-1,19,-1,.,-1
'227820002,.,.,.,.,.,.,.,.,.,67,63,68,-1,-1,-1,67,60,69,74,75,74,66,63,67,.,.,.,48,49,48,60,52,63,59,42,64,16,-1,-1,100,-1,-1
'227820041,-1,-1,-1,.,.,.,.,.,.,72,76,72,80,81,75,70,74,71,74,79,75,72,76,72,.,.,.,53,64,55,69,74,70,61,68,62,20,22,22,65,88,63
'227820042,100,-1,-1,.,.,.,.,.,.,80,80,75,77,81,75,79,80,74,80,80,75,80,80,75,.,.,.,59,64,53,80,81,75,68,70,63,53,56,51,81,86,-1
'227820043,70,-1,-1,.,.,.,.,.,.,71,73,75,80,-1,100,71,73,75,75,77,81,71,74,74,.,.,.,59,64,60,67,69,68,60,64,64,26,25,25,73,63,75
'227820044,78,86,71,-1,-1,-1,.,.,.,65,64,65,76,73,73,64,63,64,70,66,72,64,63,65,.,.,.,53,52,55,60,62,59,57,56,58,34,34,31,86,-1,-1
'227820101,83,-1,-1,-1,-1,-1,.,.,.,69,82,62,84,100,100,66,82,59,77,86,73,67,81,60,.,.,.,59,76,49,61,79,54,67,80,59,-1,-1,-1,100,100,100
'227820102,.,.,.,-1,-1,-1,.,.,.,63,72,58,48,50,44,62,72,56,71,76,67,64,74,58,.,.,.,57,73,49,55,69,49,65,78,58,22,33,-1,.,.,.
'227820103,-1,-1,-1,-1,-1,-1,.,.,.,62,70,62,50,-1,-1,60,69,60,70,76,69,62,71,63,.,.,.,54,63,50,53,64,55,58,67,56,13,-1,-1,-1,-1,-1
'227820104,-1,-1,-1,-1,-1,-1,.,.,.,60,69,58,59,64,50,59,68,57,60,66,60,61,69,59,.,.,.,44,56,40,60,71,57,57,66,55,33,38,33,50,-1,-1
'227821101,60,50,70,56,-1,-1,.,.,.,72,67,80,36,-1,-1,51,37,59,70,65,79,62,54,72,.,.,.,30,-1,-1,73,69,81,60,53,72,30,21,41,79,76,87
'227824001,.,.,.,.,.,.,.,.,.,70,77,68,85,89,78,70,78,69,64,73,57,69,78,67,.,.,.,61,76,60,74,80,78,57,69,56,75,-1,-1,45,-1,-1
'227824002,-1,.,-1,.,.,.,.,.,.,64,68,59,60,67,57,64,68,58,63,64,64,65,69,59,.,.,.,48,55,38,64,73,54,58,64,50,36,59,17,58,-1,80
'227825001,85,80,75,.,.,.,.,.,.,71,73,65,66,61,58,70,73,65,74,74,69,71,73,65,.,.,.,60,67,53,68,72,61,62,67,56,29,35,18,86,88,88
'227826101,92,-1,100,-1,-1,-1,.,.,.,64,67,72,55,54,77,40,50,45,62,63,68,48,59,51,.,.,.,32,48,29,67,71,75,28,44,23,46,50,50,86,79,94
'227827001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227828001,.,.,.,-1,-1,-1,.,.,.,57,73,32,-1,-1,-1,71,-1,-1,46,-1,-1,56,-1,45,.,.,.,45,-1,-1,67,71,-1,52,67,29,-1,.,-1,71,-1,-1
'227828002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901002,94,80,95,95,100,90,-1,.,.,86,78,82,75,66,63,74,69,66,89,82,85,80,74,73,.,.,.,57,65,43,84,75,80,71,65,59,50,44,40,94,86,93
'227901004,77,-1,88,92,-1,83,.,.,.,65,73,48,61,78,38,65,73,48,68,79,52,65,72,47,-1,.,.,46,65,25,63,68,44,58,70,36,39,51,22,80,-1,76
'227901005,93,75,90,95,-1,91,.,.,.,87,89,80,71,79,56,73,82,60,91,92,86,81,88,72,-1,.,-1,53,72,34,83,85,74,73,82,59,49,62,33,96,95,93
'227901006,87,-1,-1,62,-1,38,.,.,.,66,77,50,65,75,45,66,79,51,69,82,54,65,76,50,-1,.,.,46,67,26,63,73,47,58,76,37,42,71,21,77,100,59
'227901007,-1,-1,-1,60,-1,-1,.,.,.,66,77,51,64,78,49,65,77,49,72,80,58,67,77,51,.,.,.,48,70,29,62,75,45,60,75,43,42,64,22,79,89,72
'227901008,91,86,85,85,-1,64,.,.,.,69,70,56,61,66,51,66,69,52,74,77,63,68,71,54,86,-1,-1,51,67,32,64,63,51,58,64,38,38,39,20,76,65,69
'227901009,88,79,82,90,94,84,100,-1,-1,89,91,81,70,79,52,75,87,58,91,92,86,83,88,72,100,-1,-1,49,81,26,87,89,77,73,83,51,59,60,44,95,95,92
'227901012,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901013,98,96,96,95,96,91,-1,-1,-1,94,95,92,87,93,81,87,93,81,96,97,93,91,92,87,83,-1,-1,74,86,66,93,94,90,83,87,71,68,76,55,97,97,95
'227901014,67,-1,-1,-1,-1,-1,.,.,.,67,74,48,66,74,44,68,77,49,72,75,55,68,75,50,-1,.,-1,51,69,32,64,73,43,59,72,37,45,49,21,60,-1,-1
'227901015,-1,.,.,.,.,.,.,.,.,86,-1,73,-1,-1,-1,85,-1,71,91,-1,77,85,-1,80,.,.,.,88,-1,-1,79,-1,69,80,-1,67,-1,.,-1,89,.,-1
'227901017,78,89,50,88,91,85,-1,.,-1,72,77,55,65,69,47,67,75,50,75,78,59,70,76,53,-1,.,.,49,68,28,69,75,52,60,71,38,40,48,18,88,85,80
'227901018,100,-1,100,100,-1,100,-1,.,-1,100,100,100,100,-1,100,100,-1,100,100,100,100,100,-1,100,.,.,.,.,.,.,100,100,100,100,.,-1,100,-1,100,100,100,100
'227901019,-1,-1,-1,-1,.,-1,.,.,.,60,69,39,42,37,25,60,69,39,63,79,41,64,75,42,-1,.,-1,51,76,23,58,62,38,55,66,33,33,38,16,69,-1,-1
'227901025,.,.,.,.,.,.,.,.,.,28,30,13,-1,-1,-1,27,29,10,24,-1,13,28,33,12,.,.,.,18,-1,-1,35,-1,-1,28,-1,-1,-1,-1,-1,.,.,.
'227901026,-1,.,-1,.,.,.,.,.,.,48,67,36,40,-1,-1,52,67,40,50,-1,38,47,75,33,-1,-1,-1,19,-1,-1,46,-1,35,42,71,30,-1,.,-1,-1,.,-1
'227901027,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901028,96,100,100,98,89,100,-1,-1,-1,96,98,98,98,97,100,95,97,96,96,98,98,96,98,96,-1,-1,-1,85,95,89,.,.,.,89,94,93,69,-1,-1,98,99,100
'227901029,.,.,.,-1,.,-1,.,.,.,50,84,20,-1,-1,-1,51,83,19,43,83,-1,50,83,19,.,.,.,50,84,20,55,84,24,50,84,20,.,.,.,-1,.,-1
'227901030,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901032,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901035,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.
'227901036,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901043,87,86,86,75,74,74,.,.,.,71,74,73,45,47,44,57,61,60,74,77,78,65,68,68,100,100,-1,41,49,44,69,71,69,42,47,46,30,33,33,95,95,96
'227901044,98,98,100,99,100,99,100,-1,-1,86,89,89,54,59,61,56,64,63,87,88,90,73,78,77,-1,-1,-1,48,61,58,86,89,89,39,47,49,31,36,30,98,98,99
'227901045,93,85,97,84,82,82,.,.,.,84,85,86,63,67,69,58,60,62,86,86,88,70,72,73,-1,-1,-1,37,42,40,82,85,83,55,58,60,37,38,38,94,95,94
'227901046,58,64,60,47,58,47,-1,-1,-1,48,53,49,50,49,53,47,53,49,51,54,56,47,53,49,-1,-1,-1,36,47,37,45,52,44,40,47,41,26,32,21,51,54,48
'227901047,87,79,89,80,82,76,-1,-1,-1,85,86,87,76,83,83,65,67,72,86,86,90,72,74,77,-1,-1,-1,50,57,54,84,85,85,60,63,65,43,49,43,95,96,96
'227901051,-1,-1,-1,100,-1,-1,-1,-1,-1,52,51,47,40,40,30,51,51,46,56,52,56,54,53,50,.,.,.,46,48,36,48,50,41,43,43,36,30,36,24,-1,-1,-1
'227901052,86,87,87,93,94,95,-1,-1,-1,85,86,88,67,62,74,66,65,70,86,87,91,76,76,79,.,.,.,50,56,58,85,85,85,61,62,67,46,45,52,92,93,93
'227901053,70,63,75,-1,-1,-1,.,.,.,55,63,54,59,61,61,55,63,54,59,66,61,54,63,53,-1,-1,-1,44,55,42,51,60,49,46,56,44,39,53,34,63,-1,-1
'227901054,61,45,67,89,100,83,.,.,.,62,67,64,53,49,56,60,64,62,64,68,67,62,67,63,.,.,.,49,57,45,61,66,61,49,55,50,37,43,32,70,71,74
'227901055,71,-1,-1,49,43,53,.,.,.,57,60,61,54,47,65,57,60,61,61,62,65,58,62,61,.,.,.,47,54,48,54,57,58,50,53,54,32,34,31,56,46,62
'227901057,81,75,81,88,92,83,-1,-1,-1,72,70,74,55,40,63,63,60,66,75,71,80,64,62,66,.,.,.,50,52,53,69,69,70,53,52,56,38,35,39,88,89,91
'227901058,-1,-1,-1,.,.,.,.,.,.,47,51,50,45,47,48,47,51,50,50,52,52,47,52,50,-1,-1,-1,44,51,46,46,50,48,38,44,40,28,31,25,79,71,86
'227901059,94,100,94,88,90,90,88,-1,-1,83,86,86,64,66,62,69,74,73,85,87,90,78,83,82,-1,-1,-1,55,71,55,81,85,82,61,65,66,46,49,51,88,89,90
'227901060,89,92,89,92,95,90,-1,-1,-1,82,85,84,65,69,67,66,71,70,83,85,88,74,79,77,82,-1,-1,49,58,51,81,84,81,59,65,63,51,54,50,89,89,91
'227901061,92,94,94,90,100,92,.,.,.,68,78,70,65,75,62,65,75,66,71,79,74,65,76,67,47,-1,-1,49,66,48,66,77,66,54,68,55,38,53,31,88,92,88
'227901062,97,100,95,97,99,96,-1,-1,-1,96,97,96,79,86,76,83,79,83,96,96,96,94,94,94,100,-1,-1,75,80,76,95,97,95,76,82,75,70,74,69,97,97,97
'227901064,78,-1,-1,52,70,60,.,.,.,57,69,55,48,57,46,55,68,53,.,.,.,59,73,58,-1,.,.,52,69,49,57,69,55,47,62,46,25,36,20,90,90,80
'227901065,100,-1,-1,-1,-1,-1,.,.,.,54,62,57,43,46,48,54,62,56,54,62,57,56,64,59,-1,-1,-1,43,54,42,.,.,.,43,52,47,17,37,-1,82,100,-1
'227901101,.,.,.,.,.,.,.,.,.,76,76,72,70,70,60,76,76,71,81,78,78,76,77,72,.,.,.,79,80,76,71,75,65,72,75,67,45,41,44,-1,-1,-1
'227901102,.,.,.,38,-1,-1,.,.,.,63,71,64,58,67,60,62,71,64,62,66,66,63,71,65,.,.,.,63,70,64,63,77,63,60,69,61,39,53,38,100,-1,-1
'227901103,77,92,77,94,100,100,.,.,.,90,93,92,78,83,83,58,72,67,90,91,93,79,84,84,.,.,.,63,-1,-1,89,94,92,60,67,64,60,67,67,94,96,96
'227901104,-1,-1,-1,100,-1,-1,.,.,.,74,76,72,39,-1,-1,47,55,42,76,77,74,65,69,63,.,.,.,51,54,50,72,76,70,47,54,43,44,50,-1,91,91,91
'227901105,82,-1,-1,-1,-1,-1,.,.,.,84,88,83,82,86,78,81,85,79,86,89,83,84,87,83,-1,-1,-1,89,89,91,81,86,83,76,80,77,50,53,50,97,100,100
'227901106,100,-1,-1,.,.,.,.,.,.,70,74,67,65,65,65,65,70,60,67,72,66,69,73,65,.,.,.,66,73,60,73,77,68,64,71,59,65,78,56,83,88,82
'227901107,97,100,100,-1,-1,-1,.,.,.,84,87,84,55,63,-1,61,66,59,87,90,87,69,76,67,.,.,.,63,72,63,80,84,82,60,68,60,46,54,45,91,93,94
'227901108,.,.,.,.,.,.,.,.,.,60,62,68,70,67,75,60,62,68,65,68,71,57,59,66,.,.,.,71,69,81,54,55,64,52,58,65,41,45,50,93,100,-1
'227901109,-1,-1,-1,-1,-1,-1,.,.,.,59,67,60,63,-1,-1,58,66,60,58,65,61,62,70,63,.,.,.,60,69,60,61,70,60,57,66,58,20,-1,-1,-1,-1,-1
'227901110,92,93,93,100,100,100,.,.,.,92,91,95,90,-1,-1,79,73,82,93,91,99,88,88,93,.,.,.,88,100,71,91,92,92,71,75,78,68,71,71,93,91,96
'227901111,100,-1,-1,.,.,.,.,.,.,69,73,71,64,67,63,69,75,72,70,82,68,71,77,77,.,.,.,73,81,76,68,65,74,64,70,67,56,60,60,-1,-1,-1
'227901112,98,94,100,95,100,89,.,.,.,95,95,96,82,-1,-1,89,100,100,96,95,98,94,95,95,.,.,.,83,-1,-1,93,95,94,59,61,74,60,60,65,95,95,96
'227901113,69,82,64,56,-1,-1,.,.,.,62,62,62,54,53,58,55,57,57,63,60,66,58,58,60,.,.,.,58,60,60,60,65,59,34,35,37,51,54,50,71,72,72
'227901114,100,-1,-1,-1,-1,-1,.,.,.,74,73,77,59,70,60,71,70,71,75,71,77,75,74,77,.,.,.,68,71,65,73,76,76,63,66,63,57,65,57,83,75,88
'227901115,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901116,-1,-1,-1,-1,-1,-1,.,.,.,43,52,39,40,50,35,41,51,37,45,53,43,43,53,39,.,.,.,45,57,38,40,52,35,36,48,31,22,27,15,-1,-1,-1
'227901117,97,100,91,-1,-1,-1,-1,-1,-1,95,97,97,100,-1,-1,83,88,76,94,96,95,85,88,93,-1,-1,-1,100,-1,-1,96,98,98,63,79,64,65,71,69,97,98,98
'227901118,83,-1,-1,63,-1,-1,.,.,.,65,73,63,58,64,48,64,72,62,64,69,62,66,74,65,-1,-1,-1,63,72,63,66,77,64,61,69,62,36,52,30,80,-1,-1
'227901119,96,100,100,100,100,100,.,.,.,95,95,96,-1,-1,-1,67,67,67,97,98,98,84,83,85,.,.,.,100,-1,-1,93,93,94,80,83,84,59,59,67,97,97,98
'227901120,100,-1,-1,-1,-1,-1,.,.,.,81,84,85,-1,-1,-1,73,79,79,80,84,82,78,81,83,.,.,.,66,75,72,81,85,88,65,73,68,65,67,71,93,96,96
'227901121,77,80,70,92,100,100,.,.,.,91,91,92,50,-1,67,75,80,71,94,93,96,91,90,88,.,.,.,77,-1,100,88,90,90,71,71,82,58,53,63,96,96,97
'227901122,77,72,78,92,100,-1,.,.,.,72,73,77,55,55,65,47,48,57,73,74,77,58,61,64,.,.,.,32,47,33,72,72,77,40,45,46,49,54,54,93,94,95
'227901123,94,93,92,97,100,100,.,.,.,89,91,92,80,73,91,78,81,86,89,90,95,78,87,82,-1,-1,-1,89,95,89,88,91,90,72,77,83,60,68,68,94,94,98
'227901124,.,.,.,100,-1,-1,.,.,.,57,64,61,46,60,50,55,61,58,61,61,72,57,63,62,.,.,.,60,70,63,52,67,48,51,63,56,22,31,-1,-1,-1,-1
'227901125,.,.,.,-1,-1,-1,.,.,.,64,71,61,65,77,60,64,70,61,70,73,73,63,68,60,.,.,.,58,63,54,60,69,52,56,62,51,50,71,43,83,-1,-1
'227901126,81,86,86,-1,-1,-1,.,.,.,83,89,81,96,100,89,82,88,79,88,94,83,81,87,79,.,.,.,75,84,73,80,84,80,77,87,75,47,60,40,100,-1,-1
'227901127,83,-1,-1,63,100,-1,.,.,.,70,80,69,58,-1,-1,70,81,68,70,78,68,71,80,70,.,.,.,71,84,68,69,82,69,66,79,64,19,47,-1,67,-1,-1
'227901128,87,83,100,.,.,.,.,.,.,83,83,87,63,65,65,62,66,72,80,77,87,72,71,78,.,.,.,83,-1,-1,86,88,87,48,45,55,30,-1,-1,96,97,98
'227901129,-1,-1,-1,.,.,.,.,.,.,68,75,61,52,59,47,68,75,61,66,69,61,77,83,69,.,.,.,84,88,78,70,81,61,68,75,60,29,-1,-1,55,-1,-1
'227901130,-1,-1,-1,.,.,.,.,.,.,71,80,71,73,90,70,70,80,70,73,83,75,70,78,71,.,.,.,63,71,64,69,77,68,57,68,59,42,58,36,94,100,86
'227901131,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901132,.,.,.,-1,-1,-1,.,.,.,68,77,68,63,-1,-1,69,80,67,73,81,76,68,78,67,.,.,.,63,76,61,64,74,60,65,74,64,29,42,32,92,-1,-1
'227901133,-1,-1,-1,100,-1,-1,.,.,.,82,84,88,-1,-1,-1,61,63,71,85,81,93,76,78,85,.,.,.,68,71,72,76,90,80,67,70,75,43,75,-1,96,97,97
'227901136,100,-1,-1,100,-1,-1,.,.,.,76,78,74,-1,-1,-1,75,77,72,78,76,80,76,79,73,.,.,.,68,73,62,75,80,67,63,69,58,24,-1,-1,91,89,89
'227901138,94,91,96,83,89,79,.,.,.,82,85,82,48,61,44,73,74,74,84,81,86,74,72,77,.,.,.,80,85,77,81,87,80,68,73,67,54,61,48,91,94,92
'227901139,-1,-1,-1,.,.,.,.,.,.,61,77,53,47,67,28,61,77,53,62,79,61,70,87,69,.,.,.,78,92,77,59,76,43,62,79,58,50,-1,-1,63,-1,-1
'227901140,89,83,86,-1,-1,-1,.,.,.,74,78,74,45,53,47,65,70,65,78,80,79,73,78,72,.,.,.,70,78,70,70,75,69,62,71,63,44,59,42,83,84,87
'227901141,-1,-1,-1,100,100,100,.,.,.,60,71,56,58,75,54,58,71,53,67,73,66,59,70,55,.,.,.,61,74,56,54,70,47,56,70,49,38,57,32,48,67,-1
'227901143,85,92,92,94,94,94,-1,-1,-1,83,85,84,49,44,50,65,63,68,84,84,86,74,75,75,.,.,.,79,87,74,83,86,83,60,66,64,43,50,43,89,92,90
'227901144,.,.,.,-1,-1,-1,.,.,.,80,87,77,58,-1,71,80,87,77,85,90,84,80,88,77,-1,-1,-1,80,89,76,76,85,72,80,88,76,46,65,41,94,100,100
