CAMPUS,C200A001S17R,C200AM01S17R,C200AR01S17R,C300A001S17R,C300AM01S17R,C300AR01S17R,C400A001S17R,C400AM01S17R,C400AR01S17R,CA00A001S17R,CA00AM01S17R,CA00AR01S17R,CB00A001S17R,CB00AM01S17R,CB00AR01S17R,CE00A001S17R,CE00AM01S17R,CE00AR01S17R,CF00A001S17R,CF00AM01S17R,CF00AR01S17R,CH00A001S17R,CH00AM01S17R,CH00AR01S17R,CI00A001S17R,CI00AM01S17R,CI00AR01S17R,CL00A001S17R,CL00AM01S17R,CL00AR01S17R,CM00A001S17R,CM00AM01S17R,CM00AR01S17R,CR00A001S17R,CR00AM01S17R,CR00AR01S17R,CS00A001S17R,CS00AM01S17R,CS00AR01S17R,CW00A001S17R,CW00AM01S17R,CW00AR01S17R
'227803001,95,100,100,91,100,86,.,.,.,61,65,59,78,80,82,54,59,50,61,63,61,55,59,53,-1,-1,-1,42,53,34,60,67,57,46,51,42,33,34,33,84,91,86
'227803101,75,85,69,100,100,100,.,.,.,77,79,80,50,46,54,63,69,66,81,82,82,68,76,70,-1,-1,-1,61,79,57,74,75,78,55,56,61,46,-1,60,88,84,93
'227803102,100,-1,-1,100,-1,-1,-1,-1,-1,64,74,64,34,36,-1,56,70,54,72,78,74,60,73,60,.,.,.,52,69,48,57,70,53,54,66,53,22,29,-1,89,91,91
'227803103,63,-1,-1,.,.,.,.,.,.,55,68,42,-1,-1,-1,51,65,37,58,70,47,49,64,34,.,.,.,56,69,42,52,67,37,49,63,35,-1,-1,-1,100,100,100
'227804101,76,76,79,94,100,91,.,.,.,86,90,84,80,87,78,76,80,74,89,92,88,77,82,79,.,.,.,59,75,51,83,88,81,74,80,71,51,58,44,93,96,90
'227804102,93,100,86,100,100,100,.,.,.,83,86,80,77,69,85,78,80,77,85,85,85,66,77,55,.,.,.,89,94,83,82,87,76,73,77,68,64,71,-1,95,95,95
'227805041,.,.,.,-1,-1,-1,.,.,.,82,84,79,82,83,79,80,83,76,80,82,78,83,-1,-1,.,.,.,.,.,.,85,87,81,61,67,50,32,-1,-1,.,.,.
'227805101,100,-1,-1,.,.,.,.,.,.,67,71,66,69,72,68,58,62,57,76,79,76,48,60,-1,.,.,.,.,.,.,61,65,57,40,53,38,56,-1,-1,.,.,.
'227806005,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,-1,.,-1,-1,.,-1,-1,.,-1,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,.,.,.
'227806009,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
