CAMPUS,CD200A001S18R,CD200AM01S18R,CD200AR01S18R,CD300A001S18R,CD300AM01S18R,CD300AR01S18R,CD400A001S18R,CD400AM01S18R,CD400AR01S18R,CDA00A001S18R,CDA00AM01S18R,CDA00AR01S18R,CDB00A001S18R,CDB00AM01S18R,CDB00AR01S18R,CDE00A001S18R,CDE00AM01S18R,CDE00AR01S18R,CDF00A001S18R,CDF00AM01S18R,CDF00AR01S18R,CDH00A001S18R,CDH00AM01S18R,CDH00AR01S18R,CDI00A001S18R,CDI00AM01S18R,CDI00AR01S18R,CDL00A001S18R,CDL00AM01S18R,CDL00AR01S18R,CDM00A001S18R,CDM00AM01S18R,CDM00AR01S18R,CDR00A001S18R,CDR00AM01S18R,CDR00AR01S18R,CDS00A001S18R,CDS00AM01S18R,CDS00AR01S18R,CDW00A001S18R,CDW00AM01S18R,CDW00AR01S18R
'227901004,93,-1,-1,93,-1,-1,.,.,.,69,80,49,70,-1,-1,69,81,49,72,85,52,67,80,48,.,.,.,54,74,-1,65,76,46,64,79,43,52,-1,31,85,-1,-1
'227901005,98,-1,98,98,-1,-1,.,.,.,91,91,87,82,-1,71,81,82,73,94,92,91,86,85,81,-1,.,-1,-1,-1,-1,90,89,84,78,83,69,62,63,51,96,95,94
'227901006,-1,-1,-1,-1,-1,-1,.,.,.,69,83,55,61,80,-1,70,84,55,75,90,62,71,84,57,-1,-1,-1,57,77,-1,65,78,50,64,81,46,46,68,-1,77,-1,-1
'227901007,-1,-1,-1,-1,-1,-1,.,.,.,69,92,50,66,93,47,69,93,50,73,95,57,69,93,51,.,.,.,49,89,-1,65,90,44,62,92,41,50,84,28,79,93,-1
'227901008,100,-1,-1,-1,.,-1,-1,-1,-1,73,80,60,65,-1,-1,70,79,56,79,86,70,71,80,57,-1,.,-1,-1,-1,-1,68,75,52,61,74,-1,45,-1,-1,82,76,78
'227901009,82,-1,70,90,-1,84,-1,-1,-1,88,86,81,75,-1,61,74,76,61,91,89,86,82,80,72,-1,-1,-1,53,-1,-1,85,83,77,72,76,60,52,-1,36,94,92,91
'227901012,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901013,99,100,97,97,93,97,-1,-1,-1,95,95,91,92,-1,89,87,87,79,96,95,93,91,92,83,-1,-1,-1,81,-1,-1,93,95,88,81,86,69,68,71,54,97,97,94
'227901014,-1,-1,-1,-1,-1,-1,.,.,.,63,84,44,63,80,-1,63,82,45,71,89,55,63,86,44,.,.,.,48,-1,-1,58,81,-1,56,82,-1,38,-1,14,-1,-1,-1
'227901015,-1,.,.,.,.,.,.,.,.,84,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1
'227901017,85,-1,-1,88,-1,-1,-1,-1,-1,76,81,65,69,70,-1,73,80,61,80,85,71,74,80,63,-1,-1,-1,55,72,-1,72,77,59,67,78,54,44,-1,-1,90,88,85
'227901018,100,-1,100,100,-1,100,-1,.,.,100,100,100,100,.,-1,99,-1,99,100,100,100,100,-1,99,-1,.,-1,.,.,.,100,-1,100,97,-1,-1,100,.,-1,100,-1,100
'227901019,-1,.,-1,-1,-1,-1,.,.,.,57,77,-1,-1,-1,-1,56,76,-1,59,83,-1,58,80,-1,.,.,.,49,91,-1,55,73,-1,50,74,-1,38,-1,-1,-1,-1,-1
'227901025,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,.,-1
'227901026,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,.,.
'227901027,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901028,100,-1,100,100,-1,100,-1,.,-1,95,97,98,89,-1,91,92,96,97,95,97,98,93,97,97,-1,-1,-1,87,-1,89,.,.,.,87,95,94,-1,-1,-1,99,100,99
'227901029,.,.,.,.,.,.,.,.,.,45,88,-1,-1,-1,-1,46,88,-1,-1,-1,-1,45,86,-1,.,.,.,45,88,-1,-1,-1,-1,45,88,-1,.,.,.,-1,-1,-1
'227901030,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901032,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901035,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,.,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.
'227901036,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
