CAMPUS,CD200A001S18R,CD200AM01S18R,CD200AR01S18R,CD300A001S18R,CD300AM01S18R,CD300AR01S18R,CD400A001S18R,CD400AM01S18R,CD400AR01S18R,CDA00A001S18R,CDA00AM01S18R,CDA00AR01S18R,CDB00A001S18R,CDB00AM01S18R,CDB00AR01S18R,CDE00A001S18R,CDE00AM01S18R,CDE00AR01S18R,CDF00A001S18R,CDF00AM01S18R,CDF00AR01S18R,CDH00A001S18R,CDH00AM01S18R,CDH00AR01S18R,CDI00A001S18R,CDI00AM01S18R,CDI00AR01S18R,CDL00A001S18R,CDL00AM01S18R,CDL00AR01S18R,CDM00A001S18R,CDM00AM01S18R,CDM00AR01S18R,CDR00A001S18R,CDR00AM01S18R,CDR00AR01S18R,CDS00A001S18R,CDS00AM01S18R,CDS00AR01S18R,CDW00A001S18R,CDW00AM01S18R,CDW00AR01S18R
'227901157,.,.,.,-1,-1,-1,.,.,.,71,77,69,-1,-1,-1,69,76,67,74,72,77,73,81,71,-1,-1,-1,77,83,76,68,82,62,70,80,69,-1,-1,-1,.,.,.
'227901158,-1,-1,-1,100,-1,-1,.,.,.,69,64,73,-1,-1,-1,56,52,61,69,61,76,59,54,66,.,.,.,55,46,65,70,68,70,55,47,63,-1,-1,-1,89,87,89
'227901159,.,.,.,.,.,.,.,.,.,90,93,90,93,92,95,89,92,89,91,94,91,89,94,89,-1,-1,-1,89,93,89,90,93,90,88,92,87,57,74,-1,97,94,100
'227901160,-1,-1,-1,-1,-1,-1,.,.,.,73,80,74,80,-1,-1,73,81,74,77,83,79,71,78,73,.,.,.,68,77,69,70,78,69,68,79,70,62,-1,-1,90,92,83
'227901161,-1,-1,-1,.,.,.,.,.,.,80,88,80,76,-1,-1,80,88,79,82,87,85,81,89,80,.,.,.,80,90,79,77,89,74,78,88,77,52,-1,-1,64,-1,-1
'227901162,.,.,.,.,.,.,-1,-1,-1,62,67,59,-1,-1,-1,63,69,59,65,69,63,62,67,58,.,.,.,61,68,-1,58,65,54,58,65,53,57,-1,-1,-1,-1,-1
'227901163,-1,-1,-1,73,77,-1,.,.,.,81,86,82,78,-1,-1,81,86,82,84,88,85,82,87,83,.,.,.,81,87,81,80,86,80,81,87,81,57,-1,-1,68,-1,-1
'227901164,.,.,.,-1,-1,-1,.,.,.,63,69,69,67,-1,-1,63,69,69,65,70,71,62,68,68,-1,-1,-1,64,71,69,61,67,67,61,69,67,44,54,-1,79,-1,-1
'227901165,.,.,.,.,.,.,.,.,.,84,89,86,-1,-1,-1,84,89,86,86,91,88,85,90,87,.,.,.,85,91,86,83,86,85,83,89,84,-1,-1,-1,-1,-1,-1
'227901166,-1,-1,-1,92,-1,-1,.,.,.,72,79,74,-1,-1,-1,71,78,72,78,81,81,72,80,72,.,.,.,77,83,-1,66,76,65,64,75,65,53,-1,-1,71,78,81
'227901168,.,.,.,-1,-1,-1,.,.,.,71,79,68,-1,-1,-1,71,80,68,70,79,69,70,79,67,.,.,.,69,80,65,71,79,68,68,79,64,-1,-1,-1,60,-1,-1
'227901170,76,-1,-1,-1,-1,-1,.,.,.,83,86,87,-1,-1,-1,73,78,77,84,83,88,76,80,80,.,.,.,65,-1,-1,83,88,86,63,-1,67,50,52,-1,91,92,93
'227901171,-1,-1,-1,100,-1,-1,-1,-1,-1,80,86,81,-1,-1,-1,77,84,77,77,81,77,81,87,82,.,.,.,82,92,82,83,90,85,75,83,75,-1,-1,-1,-1,-1,-1
'227901172,97,-1,-1,100,-1,-1,.,.,.,68,72,70,62,-1,-1,62,67,64,68,70,69,60,66,62,.,.,.,60,-1,-1,67,74,70,51,61,53,40,-1,-1,84,85,85
'227901173,68,-1,-1,-1,-1,-1,.,.,.,73,74,75,-1,-1,-1,69,71,72,74,75,76,70,73,72,.,.,.,79,91,74,71,74,74,61,67,61,-1,-1,-1,88,88,90
'227901174,-1,-1,-1,-1,-1,-1,.,.,.,67,79,64,-1,-1,-1,67,78,63,70,79,68,68,80,65,.,.,.,66,80,64,64,78,59,65,79,61,-1,-1,-1,-1,-1,-1
'227901175,-1,-1,-1,.,.,.,.,.,.,64,64,65,-1,-1,-1,62,62,65,74,73,77,65,64,66,.,.,.,67,69,68,53,-1,53,61,62,62,-1,-1,-1,-1,-1,-1
'227901176,-1,-1,-1,.,.,.,.,.,.,72,79,73,83,-1,-1,71,77,73,72,73,75,71,77,72,.,.,.,67,72,70,73,84,72,66,73,67,45,-1,-1,81,-1,-1
'227901177,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901178,-1,-1,.,.,.,.,.,.,.,72,81,68,73,-1,-1,71,80,68,73,80,71,73,82,70,-1,-1,-1,73,82,70,71,83,64,70,80,66,-1,-1,-1,-1,-1,-1
'227901179,88,91,90,94,95,89,-1,-1,-1,83,87,84,-1,-1,-1,68,77,67,87,90,89,70,75,75,.,.,.,65,76,67,79,83,79,65,71,69,-1,-1,-1,92,96,91
'227901180,98,100,100,100,100,100,.,.,.,97,97,98,-1,-1,-1,93,92,91,97,98,98,94,96,96,-1,-1,-1,97,100,93,97,97,99,91,98,93,88,87,95,97,97,99
'227901181,96,97,100,100,100,100,.,.,.,94,94,96,95,-1,100,82,-1,85,94,94,96,90,91,94,.,.,.,-1,-1,-1,93,93,96,66,-1,-1,72,68,82,94,94,96
'227901182,96,97,97,93,95,95,.,.,.,92,93,94,100,100,100,82,83,87,92,93,94,86,88,89,-1,-1,-1,65,76,72,92,94,94,72,74,77,65,66,72,95,96,96
'227901183,94,100,93,90,94,88,.,.,.,86,91,87,72,-1,-1,75,80,78,86,90,87,84,91,83,.,.,.,67,-1,-1,86,91,87,61,73,62,59,-1,58,89,91,92
'227901184,93,96,91,97,97,98,-1,-1,-1,95,96,97,-1,-1,-1,-1,-1,-1,96,96,98,95,95,98,.,.,.,87,87,-1,94,95,96,77,84,80,76,80,80,95,96,97
'227901185,93,-1,-1,96,100,-1,.,.,.,85,90,85,83,89,77,82,89,82,88,90,89,84,89,85,-1,-1,-1,84,91,83,82,90,82,81,89,80,58,-1,-1,89,92,92
'227901186,-1,-1,-1,-1,-1,-1,.,.,.,84,87,83,-1,-1,-1,84,87,83,84,85,86,85,88,83,-1,-1,-1,85,88,83,84,90,79,83,86,82,-1,-1,-1,100,-1,-1
'227901187,88,91,91,99,97,100,.,.,.,89,90,92,92,-1,-1,65,-1,74,92,94,95,81,83,83,-1,-1,-1,68,-1,76,87,87,90,67,73,73,66,72,65,92,93,95
'227901188,-1,-1,-1,.,.,.,.,.,.,82,88,79,82,-1,-1,81,88,79,85,92,81,82,88,80,.,.,.,83,88,80,78,84,78,81,88,78,-1,-1,-1,.,.,.
'227901189,-1,-1,-1,.,.,.,.,.,.,71,83,69,70,76,73,71,82,69,69,83,65,72,84,68,.,.,.,67,81,63,74,82,74,68,80,65,-1,-1,-1,-1,-1,-1
'227901190,-1,-1,-1,.,.,.,.,.,.,73,74,78,-1,-1,-1,72,73,76,77,78,84,72,73,77,-1,-1,-1,73,72,79,68,68,71,69,69,75,45,-1,48,90,-1,-1
'227901192,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901193,-1,-1,-1,.,.,.,.,.,.,62,76,59,-1,-1,-1,62,76,59,65,79,61,61,75,58,.,.,.,61,76,58,58,72,56,60,76,58,-1,-1,-1,-1,-1,-1
'227901194,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901250,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227901251,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'227904001,75,-1,-1,90,80,84,.,.,.,82,80,72,79,78,68,75,72,63,86,86,78,79,79,67,-1,-1,-1,51,60,-1,77,74,66,69,70,53,41,-1,-1,89,84,83
'227904003,74,-1,-1,75,78,62,-1,-1,-1,65,55,54,65,-1,-1,63,55,52,69,58,61,62,53,51,-1,-1,-1,44,-1,-1,62,51,49,56,-1,41,35,-1,24,70,-1,62
'227904004,90,96,83,93,100,85,-1,.,-1,87,87,79,81,83,70,78,79,64,91,90,84,85,87,75,-1,.,-1,58,-1,-1,84,86,74,73,75,60,51,61,31,91,87,86
'227904005,86,-1,86,90,-1,90,-1,.,-1,82,79,77,79,-1,73,75,78,67,88,86,85,78,77,71,-1,-1,-1,54,63,-1,77,73,71,70,74,60,46,-1,27,91,88,88
'227904008,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227904041,77,85,85,93,95,95,-1,-1,-1,76,82,78,67,73,63,68,76,71,80,85,86,72,80,77,-1,-1,.,55,69,-1,72,79,71,57,68,59,42,-1,-1,85,90,86
'227904042,63,-1,74,83,80,85,-1,-1,-1,67,71,69,58,62,58,63,69,64,68,71,71,67,72,70,-1,-1,-1,54,66,53,66,72,68,54,62,56,36,40,35,76,80,75
'227904043,88,90,83,97,100,95,.,.,.,84,84,87,75,71,81,78,78,82,85,85,88,83,85,86,-1,-1,-1,66,-1,-1,82,84,85,68,71,71,46,-1,-1,89,90,91
'227904045,-1,-1,-1,87,90,87,-1,-1,-1,62,67,68,61,58,71,60,65,66,64,67,71,58,65,63,-1,-1,-1,44,56,49,61,67,65,49,56,55,32,-1,-1,58,-1,60
'227904046,87,92,85,97,98,97,.,.,.,90,92,90,80,81,79,80,85,81,92,94,93,87,91,87,100,-1,-1,-1,-1,-1,88,91,87,69,77,68,57,66,54,95,96,95
'227904048,93,93,93,93,97,90,.,.,.,82,88,80,76,84,76,72,80,70,86,91,85,76,85,75,-1,-1,-1,52,66,-1,78,85,76,63,74,61,42,-1,-1,89,91,86
'227904101,90,-1,100,90,91,91,.,.,.,83,86,90,82,-1,-1,74,78,84,86,89,92,80,87,87,-1,-1,-1,69,78,-1,81,84,89,66,70,81,51,-1,-1,86,83,92
'227904102,-1,-1,-1,89,86,92,.,.,.,87,85,89,77,-1,-1,84,83,85,88,82,91,87,83,89,.,.,.,86,82,89,86,87,87,83,80,85,-1,-1,-1,90,94,94
'227904103,76,80,80,90,-1,-1,-1,-1,-1,75,76,80,-1,-1,-1,70,71,77,81,82,83,71,73,79,.,.,.,-1,-1,-1,71,72,78,61,-1,-1,-1,-1,-1,82,82,87
'227904104,-1,-1,-1,80,-1,-1,.,.,.,65,70,70,57,-1,-1,62,69,68,65,67,73,61,68,70,.,.,.,-1,-1,-1,65,73,66,50,55,-1,-1,-1,-1,82,89,79
'227904105,-1,-1,-1,93,100,90,.,.,.,67,70,70,59,59,60,66,68,68,68,70,71,67,70,70,.,.,.,65,68,69,66,70,68,60,63,63,-1,-1,-1,68,77,74
'227904106,73,73,77,93,100,93,.,.,.,83,84,84,77,82,79,78,80,79,84,84,85,81,81,83,-1,-1,-1,74,79,81,82,85,83,67,72,68,53,-1,-1,90,91,89
'227904107,-1,-1,-1,-1,-1,-1,.,.,.,79,83,80,74,79,79,76,82,78,82,83,87,79,83,79,.,.,.,79,83,77,75,83,73,74,80,74,54,-1,-1,90,94,90
'227904108,84,82,-1,94,-1,100,.,.,.,82,83,84,72,-1,77,73,76,76,84,87,86,74,74,74,.,.,.,82,-1,-1,80,79,83,66,68,68,-1,-1,-1,91,90,92
'227904109,85,-1,-1,89,100,91,.,.,.,73,75,80,70,-1,-1,68,70,76,72,74,80,69,72,76,.,.,.,69,70,76,74,77,80,64,67,72,-1,-1,-1,86,85,92
'227904110,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227904111,-1,-1,-1,-1,-1,-1,.,.,.,75,78,78,61,-1,-1,74,78,75,77,79,81,77,79,78,.,.,.,78,81,79,74,77,76,71,76,71,-1,-1,-1,-1,-1,-1
'227904112,86,90,90,93,97,97,.,.,.,91,96,92,82,88,78,85,87,89,92,97,92,91,96,91,-1,-1,-1,96,-1,-1,90,94,91,68,80,-1,60,70,-1,93,98,94
'227904113,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227904114,77,-1,80,-1,-1,-1,.,.,.,77,80,78,-1,-1,-1,70,74,69,77,78,78,77,80,76,-1,-1,-1,76,81,73,78,83,77,67,72,67,39,-1,-1,85,83,90
'227904115,97,96,96,97,96,100,.,.,.,93,94,94,91,95,86,84,86,84,94,96,94,89,89,90,.,.,.,88,-1,94,92,92,94,79,82,80,76,-1,82,95,96,97
'227904116,85,90,85,95,96,96,-1,-1,-1,90,92,91,85,86,90,83,88,86,90,92,91,90,92,91,-1,-1,-1,86,86,88,90,92,91,75,78,77,53,-1,-1,91,94,91
'227904117,-1,-1,-1,92,99,92,.,.,.,79,88,80,62,-1,-1,75,85,76,82,92,82,75,86,76,-1,-1,-1,87,96,89,76,84,77,77,88,76,-1,-1,-1,-1,-1,-1
'227904118,96,96,96,97,100,96,-1,-1,-1,90,94,93,77,83,83,84,92,85,92,94,95,86,92,90,-1,-1,-1,-1,-1,-1,87,95,90,73,85,76,-1,-1,-1,94,98,96
'227904119,.,.,.,-1,-1,-1,.,.,.,80,85,80,85,88,88,78,83,79,82,86,85,79,84,80,.,.,.,78,82,78,78,84,76,77,82,78,-1,-1,-1,94,100,86
'227904120,88,92,-1,92,95,90,-1,-1,-1,81,86,83,70,75,75,72,77,76,80,83,83,76,81,77,.,.,.,-1,-1,-1,82,88,84,63,70,65,61,68,-1,90,95,94
'227904121,97,100,100,91,100,88,.,.,.,83,87,87,86,89,91,76,83,80,86,89,89,78,84,81,-1,-1,-1,70,76,76,81,86,85,68,75,73,-1,-1,-1,86,88,90
'227907001,58,-1,-1,50,-1,-1,-1,.,-1,62,69,48,59,67,-1,60,70,46,70,80,58,62,70,49,-1,.,-1,46,72,-1,55,62,40,54,67,40,26,37,-1,69,71,59
'227907002,-1,.,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'227907004,-1,-1,-1,94,.,-1,.,.,.,89,88,84,82,76,-1,89,89,84,94,96,91,89,90,83,.,.,.,-1,-1,-1,84,82,78,81,84,73,-1,-1,-1,95,-1,-1
'227907041,-1,-1,-1,-1,-1,-1,.,.,.,46,52,50,38,-1,-1,43,50,47,48,51,53,46,53,49,-1,-1,-1,33,-1,-1,45,53,48,37,-1,41,-1,-1,-1,52,-1,-1
'227907042,61,-1,-1,79,88,79,-1,-1,-1,59,63,64,56,57,67,56,61,61,65,67,72,58,62,62,.,.,.,50,59,53,53,58,56,51,56,57,39,37,45,71,-1,77
'227907043,66,-1,-1,91,89,-1,100,-1,-1,74,72,76,67,65,71,70,68,71,76,73,78,75,72,76,-1,-1,-1,59,55,64,73,70,74,62,57,63,64,57,77,82,78,83
'227907101,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,82,72,80,-1,-1,70,81,70,76,83,79,70,81,70,.,.,.,70,83,70,69,81,66,68,79,69,-1,-1,-1,86,-1,-1
'227907102,82,-1,-1,64,-1,-1,.,.,.,69,69,71,66,68,68,65,66,65,67,68,70,66,65,70,.,.,.,63,66,65,70,70,72,63,64,64,54,-1,-1,83,80,83
'227907104,-1,-1,-1,.,.,.,.,.,.,70,77,59,63,78,-1,70,77,58,72,75,63,71,76,60,-1,-1,-1,67,74,55,69,79,56,67,74,54,51,-1,-1,100,-1,-1
'227907105,-1,-1,-1,-1,-1,-1,.,.,.,77,83,79,65,-1,-1,75,82,77,80,84,84,78,85,80,.,.,.,79,85,84,73,83,74,75,81,78,-1,-1,-1,84,-1,86
'227907106,-1,-1,-1,74,-1,-1,-1,-1,-1,59,62,64,52,51,-1,57,60,61,61,58,66,59,63,63,.,.,.,56,61,59,57,66,61,56,59,60,-1,-1,-1,69,-1,-1
'227907107,-1,-1,-1,-1,-1,-1,.,.,.,70,81,71,58,-1,-1,70,80,71,69,75,74,72,83,72,-1,-1,-1,74,85,71,71,87,68,69,80,70,-1,-1,-1,92,-1,-1
'227907108,92,-1,-1,86,89,84,-1,-1,-1,74,78,73,71,78,68,70,75,69,78,81,75,66,72,65,.,.,.,68,75,67,70,76,71,67,73,66,-1,-1,-1,86,88,81
'227907109,-1,-1,-1,100,100,100,.,.,.,75,82,78,68,75,76,68,77,72,78,87,80,77,84,78,.,.,.,72,80,74,72,77,75,69,77,72,59,68,-1,76,79,79
'227907110,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227907111,-1,-1,-1,-1,-1,-1,.,.,.,73,84,74,70,-1,75,70,81,72,75,85,77,74,84,72,.,.,.,71,84,68,72,82,71,68,81,68,-1,-1,-1,-1,-1,-1
'227909001,96,-1,95,99,89,98,-1,.,-1,97,93,96,92,-1,-1,87,91,80,98,94,97,95,90,94,-1,-1,-1,-1,-1,-1,96,93,94,81,80,72,78,75,69,97,94,96
'227909005,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227909041,98,98,98,99,100,98,-1,-1,-1,96,97,96,-1,-1,-1,96,96,92,97,97,96,95,96,96,-1,-1,-1,98,-1,-1,96,98,95,80,81,78,69,75,66,96,97,96
'227909042,99,100,96,97,97,97,.,.,.,96,97,95,-1,-1,-1,76,77,79,97,98,97,91,94,92,-1,-1,-1,-1,-1,-1,95,96,93,77,79,79,73,77,72,96,98,96
'227909101,94,93,93,96,100,95,.,.,.,92,93,93,-1,-1,-1,-1,-1,-1,92,94,92,85,85,87,.,.,.,89,-1,-1,92,93,93,76,80,81,-1,-1,-1,93,94,93
'227909102,98,100,100,95,96,96,.,.,.,94,96,95,-1,-1,-1,-1,-1,-1,94,94,97,86,93,83,.,.,.,-1,-1,-1,95,97,94,72,84,74,62,74,-1,96,96,97
'227909103,100,100,100,100,100,100,.,.,.,94,95,94,.,.,.,76,-1,-1,93,94,94,83,85,78,-1,-1,-1,-1,-1,-1,94,95,93,63,-1,-1,71,69,69,95,96,96
'227909104,100,100,-1,97,98,96,.,.,.,98,98,99,-1,-1,-1,-1,-1,-1,97,97,99,96,97,94,.,.,.,-1,-1,-1,98,99,98,-1,-1,-1,89,87,96,98,98,100
'227909105,100,100,100,98,97,98,.,.,.,97,97,98,-1,-1,-1,-1,-1,-1,98,98,98,97,93,100,.,.,.,-1,-1,-1,96,96,97,93,90,94,89,93,-1,96,97,97
'227909106,97,94,100,100,100,100,.,.,.,97,98,98,-1,-1,-1,94,-1,-1,97,98,97,96,98,96,.,.,.,95,-1,-1,97,99,98,87,94,89,82,88,-1,98,99,98
'227910001,85,-1,-1,-1,-1,-1,-1,-1,-1,66,68,52,67,75,-1,65,67,50,73,78,60,66,67,52,-1,.,-1,48,59,-1,60,59,45,57,63,40,31,41,13,68,-1,58
'227910002,.,.,.,-1,.,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'227910041,91,-1,-1,74,-1,-1,.,.,.,64,74,63,53,57,61,63,73,61,67,75,68,63,74,61,-1,-1,-1,51,67,48,61,73,58,55,68,53,37,51,-1,82,83,85
'227910042,70,-1,-1,-1,-1,-1,.,.,.,56,58,62,42,-1,45,55,56,62,60,62,69,56,59,63,.,.,.,48,56,54,51,53,56,48,50,55,28,24,33,67,63,71
'227910043,88,-1,-1,-1,-1,-1,.,.,.,59,69,58,57,-1,58,59,69,57,64,75,64,59,70,58,-1,-1,-1,53,68,52,54,65,52,49,62,48,32,-1,-1,63,-1,55
'227910101,72,-1,-1,-1,-1,-1,.,.,.,65,74,65,-1,-1,-1,64,73,63,64,74,63,64,72,64,-1,-1,-1,61,68,63,66,74,66,56,66,55,33,-1,-1,76,-1,82
'227910106,-1,-1,-1,.,.,.,.,.,.,67,76,63,-1,-1,-1,65,74,61,72,80,67,66,75,61,.,.,.,66,76,60,63,72,59,65,74,59,39,48,-1,71,67,-1
'227910107,-1,-1,-1,.,.,.,.,.,.,62,67,62,-1,-1,-1,62,67,62,57,60,60,62,68,62,.,.,.,58,61,58,66,74,64,56,62,56,41,-1,-1,-1,-1,-1
'227910108,-1,-1,-1,-1,-1,-1,.,.,.,65,77,60,53,-1,-1,63,76,58,63,74,57,66,79,59,.,.,.,75,83,69,66,80,62,61,74,55,40,-1,-1,-1,-1,-1
'227910109,-1,-1,-1,-1,-1,-1,.,.,.,62,68,59,56,-1,55,59,65,56,66,70,67,62,68,59,.,.,.,55,-1,-1,58,66,51,50,57,46,-1,-1,-1,65,-1,-1
'227910110,-1,-1,-1,-1,-1,-1,.,.,.,62,70,61,54,58,50,59,67,57,66,72,68,62,70,61,.,.,.,59,72,55,59,69,55,56,65,53,-1,-1,-1,90,-1,-1
'227910111,-1,-1,-1,.,.,.,.,.,.,64,74,61,-1,-1,-1,65,74,63,68,77,66,65,74,61,.,.,.,66,78,61,62,72,58,62,71,58,-1,-1,-1,66,-1,-1
'227910112,96,-1,-1,-1,-1,-1,.,.,.,72,75,70,74,78,-1,71,76,70,76,79,79,70,74,68,.,.,.,71,76,67,68,72,63,67,71,65,41,-1,-1,77,78,78
'227912001,89,-1,-1,-1,.,-1,.,.,.,84,84,75,-1,-1,-1,69,-1,-1,86,82,83,79,-1,-1,.,.,.,-1,-1,-1,82,-1,68,66,-1,-1,-1,-1,-1,85,82,76
'227912041,77,-1,81,-1,-1,-1,-1,-1,-1,83,89,89,-1,-1,-1,67,76,77,83,89,90,71,78,82,-1,-1,-1,-1,-1,-1,83,89,88,62,72,-1,-1,-1,-1,87,92,91
'227912101,100,-1,-1,.,.,.,.,.,.,88,88,88,.,.,.,79,77,80,91,89,93,76,74,78,-1,-1,-1,-1,-1,-1,84,85,83,57,-1,-1,-1,-1,-1,92,92,92
'227912102,98,-1,100,.,.,.,-1,-1,-1,88,93,90,.,.,.,81,86,86,89,90,92,90,88,95,.,.,.,-1,-1,-1,88,95,89,73,83,-1,63,-1,-1,87,94,88
'227913001,90,-1,85,98,100,96,-1,.,-1,92,92,89,-1,-1,-1,76,78,69,94,94,91,83,84,77,-1,.,-1,49,63,-1,90,90,86,80,84,72,57,67,38,94,94,92
'227913041,94,96,93,98,99,99,100,-1,-1,93,94,93,78,-1,83,83,81,83,95,94,95,89,89,86,100,-1,-1,-1,-1,-1,93,94,90,70,70,69,57,57,57,94,95,94
'227913042,96,96,95,98,96,98,.,.,.,93,95,93,86,86,-1,78,82,78,94,95,95,86,90,86,100,-1,-1,70,81,67,93,95,91,77,82,75,64,70,63,95,97,95
'227913101,100,100,100,91,89,89,.,.,.,79,80,81,-1,-1,-1,65,68,69,79,77,84,68,70,71,.,.,.,60,62,66,79,83,79,61,65,65,38,-1,-1,89,89,90
'227913102,91,96,92,97,96,100,.,.,.,93,94,94,-1,-1,-1,90,91,-1,91,95,92,85,89,92,-1,-1,-1,-1,-1,-1,94,94,97,68,77,-1,64,64,76,94,96,95
'227913103,97,100,95,98,100,97,.,.,.,91,91,93,-1,-1,-1,75,-1,-1,89,88,92,83,85,89,.,.,.,-1,-1,-1,93,94,94,71,74,81,67,66,-1,92,91,94
'227913104,100,100,100,99,100,100,.,.,.,95,97,96,91,100,-1,91,-1,-1,96,97,97,92,95,95,-1,-1,-1,-1,-1,-1,94,97,95,72,74,-1,70,73,73,95,97,95
'227913105,98,100,100,91,94,88,.,.,.,93,94,94,-1,-1,-1,90,89,93,92,93,93,90,95,89,-1,-1,-1,-1,-1,-1,93,95,94,73,84,-1,68,71,75,93,94,94
'227913106,88,96,96,100,100,100,-1,-1,-1,90,93,92,-1,-1,-1,72,81,68,89,94,90,86,92,88,.,.,.,-1,-1,-1,90,92,94,64,77,68,56,-1,-1,90,92,92
