CAMPUS,C200A001S15R,C200AM01S15R,C200AR01S15R,C300A001S15R,C300AM01S15R,C300AR01S15R,C400A001S15R,C400AM01S15R,C400AR01S15R,CA00A001S15R,CA00AM01S15R,CA00AR01S15R,CB00A001S15R,CB00AM01S15R,CB00AR01S15R,CE00A001S15R,CE00AM01S15R,CE00AR01S15R,CF00A001S15R,CF00AM01S15R,CF00AR01S15R,CH00A001S15R,CH00AM01S15R,CH00AR01S15R,CI00A001S15R,CI00AM01S15R,CI00AR01S15R,CL00A001S15R,CL00AM01S15R,CL00AR01S15R,CM00A001S15R,CM00AM01S15R,CM00AR01S15R,CR00A001S15R,CR00AM01S15R,CR00AR01S15R,CS00A001S15R,CS00AM01S15R,CS00AR01S15R,CW00A001S15R,CW00AM01S15R,CW00AR01S15R
'227803001,100,-1,-1,86,-1,86,.,.,.,63,79,72,63,-1,71,58,80,66,61,72,72,55,72,66,-1,.,-1,34,-1,46,66,93,72,47,64,59,50,-1,-1,92,100,91
'227803101,100,.,100,100,.,-1,.,.,.,88,.,89,56,.,-1,80,.,84,86,.,90,81,.,83,-1,.,-1,-1,.,-1,90,.,88,77,.,82,-1,.,-1,95,.,95
'227803102,-1,.,-1,-1,.,-1,.,.,.,67,.,74,45,.,-1,60,.,69,69,.,75,62,.,72,.,.,.,51,.,62,65,.,73,57,.,65,-1,.,-1,91,.,92
'227804101,91,.,92,94,-1,97,.,.,.,89,98,90,77,-1,79,83,100,84,91,100,91,86,94,87,.,.,.,72,-1,75,87,95,89,75,95,75,52,-1,55,94,100,94
'227804102,-1,.,-1,-1,.,-1,.,.,.,83,.,83,75,.,75,75,.,75,90,.,90,69,.,69,.,.,.,71,.,71,71,.,71,77,.,77,-1,.,-1,96,.,96
'227805041,-1,.,-1,.,.,.,.,.,.,82,100,76,81,100,75,82,100,76,89,100,84,-1,.,-1,.,.,.,.,.,.,76,100,69,71,100,62,-1,.,-1,-1,.,-1
'227805101,-1,.,-1,.,.,.,.,.,.,75,.,76,75,.,76,75,.,76,81,.,85,86,.,-1,.,.,.,.,.,.,69,.,66,50,.,52,-1,.,-1,-1,.,-1
'227806005,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806009,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806015,.,.,.,.,.,.,.,.,.,32,-1,45,-1,.,-1,-1,.,-1,-1,.,-1,-1,-1,-1,.,.,.,-1,.,-1,-1,-1,-1,29,-1,-1,.,.,.,-1,.,-1
'227806017,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,-1,.,-1,-1,.,-1,-1,.,-1,.,.,.,.,.,.,.,.,.,-1,.,-1,-1,.,-1,.,.,.
'227806023,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806024,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,-1,.,.,-1,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.
'227806025,.,.,.,.,.,.,.,.,.,32,-1,42,33,-1,-1,38,-1,53,48,-1,70,38,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,32,-1,42,-1,-1,-1,-1,-1,-1
'227806029,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227806030,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
