CAMPUS,CD000A001S19R,CD000AM01S19R,CD000AR01S19R,CD200A001S19R,CD200AM01S19R,CD200AR01S19R,CD300A001S19R,CD300AM01S19R,CD300AR01S19R,CD400A001S19R,CD400AM01S19R,CD400AR01S19R,CDA00A001S19R,CDA00AM01S19R,CDA00AR01S19R,CDB00A001S19R,CDB00AM01S19R,CDB00AR01S19R,CDE00A001S19R,CDE00AM01S19R,CDE00AR01S19R,CDF00A001S19R,CDF00AM01S19R,CDF00AR01S19R,CDH00A001S19R,CDH00AM01S19R,CDH00AR01S19R,CDI00A001S19R,CDI00AM01S19R,CDI00AR01S19R,CDL00A001S19R,CDL00AM01S19R,CDL00AR01S19R,CDM00A001S19R,CDM00AM01S19R,CDM00AR01S19R,CDR00A001S19R,CDR00AM01S19R,CDR00AR01S19R,CDS00A001S19R,CDS00AM01S19R,CDS00AR01S19R,CDW00A001S19R,CDW00AM01S19R,CDW00AR01S19R,CNC00A001S19R,CNC00AM01S19R,CNC00AR01S19R,CNM00A001S19R,CNM00AM01S19R,CNM00AR01S19R,CNS00A001S19R,CNS00AM01S19R,CNS00AR01S19R
'227820052,86,88,90,33,-1,-1,100,100,100,.,.,.,87,88,90,93,92,96,86,88,89,89,92,93,86,88,89,-1,-1,-1,77,80,82,85,85,87,77,79,82,49,56,44,100,-1,-1,.,.,.,87,88,90,-1,-1,-1
'227820053,74,84,69,64,80,60,.,.,.,.,.,.,75,80,74,73,72,76,74,79,73,.,.,.,76,84,73,-1,-1,-1,71,82,65,75,80,74,70,80,66,36,45,29,100,-1,-1,.,.,.,75,80,74,42,50,50
'227820054,81,88,78,.,.,.,.,.,.,.,.,.,81,86,79,69,100,40,81,85,80,86,89,88,81,86,80,57,-1,-1,78,87,76,76,84,71,77,86,75,41,64,33,100,-1,-1,.,.,.,81,86,79,100,-1,-1
'227820055,76,78,76,-1,-1,-1,.,.,.,.,.,.,81,80,80,76,74,76,80,79,79,81,80,80,83,84,82,.,.,.,73,76,73,.,.,.,72,72,73,39,47,40,43,-1,-1,.,.,.,81,80,80,.,.,.
'227820056,88,94,83,-1,-1,-1,88,93,83,.,.,.,89,94,85,92,96,88,89,94,85,92,98,89,89,94,85,-1,-1,-1,85,93,79,85,90,81,86,93,80,61,80,54,57,60,60,.,.,.,89,94,85,100,-1,-1
'227820057,72,74,76,100,-1,-1,-1,-1,-1,-1,-1,-1,73,74,78,67,67,74,72,73,78,77,74,83,79,80,81,.,.,.,65,67,70,70,73,74,65,65,70,22,27,23,95,100,100,.,.,.,73,74,78,75,67,83
'227820058,61,77,66,91,100,88,-1,-1,-1,.,.,.,69,77,76,70,76,78,67,76,73,72,81,81,66,80,70,-1,-1,-1,54,73,61,66,73,71,52,64,59,26,41,32,-1,-1,-1,.,.,.,69,77,76,44,50,50
'227820059,75,75,74,56,-1,-1,100,100,100,-1,-1,-1,83,82,84,87,84,89,83,82,85,86,82,88,78,78,78,73,-1,-1,70,70,69,81,82,81,70,70,69,34,36,36,100,-1,-1,.,.,.,83,82,84,68,67,67
'227820060,78,86,72,100,-1,-1,-1,-1,-1,.,.,.,77,83,74,57,58,58,77,83,74,81,84,81,79,85,75,-1,-1,-1,77,85,71,74,82,68,70,79,61,52,62,44,67,-1,-1,.,.,.,77,83,74,85,88,75
'227820061,73,75,64,100,-1,-1,-1,-1,-1,.,.,.,69,72,64,58,61,55,69,72,63,72,73,69,69,73,64,.,.,.,70,73,61,66,71,58,68,71,60,19,23,15,100,-1,-1,.,.,.,69,72,64,.,.,.
'227820071,64,70,58,87,89,89,.,.,.,.,.,.,65,67,63,59,55,61,65,66,63,69,70,68,67,72,62,100,-1,-1,61,67,55,62,64,58,59,64,54,38,44,35,83,100,67,.,.,.,65,67,63,26,33,33
'227820072,68,69,76,100,-1,-1,.,.,.,-1,-1,-1,67,68,69,63,64,64,67,68,69,70,69,75,77,76,81,100,-1,-1,68,70,75,64,66,63,65,66,72,11,17,14,43,40,40,.,.,.,67,68,69,27,24,41
'227820073,68,79,58,-1,-1,-1,-1,-1,-1,.,.,.,66,74,59,62,68,56,66,74,59,81,85,78,72,81,65,25,-1,-1,68,79,58,55,65,45,68,80,57,19,31,13,.,.,.,.,.,.,66,74,59,73,60,80
'227820081,63,72,65,.,.,.,.,.,.,.,.,.,70,74,72,79,69,88,69,73,72,75,77,79,70,74,72,43,-1,-1,61,71,62,64,71,65,60,69,62,42,39,38,86,86,100,.,.,.,70,74,72,75,78,78
'227820082,68,75,65,83,-1,-1,-1,-1,-1,.,.,.,69,73,67,39,43,43,69,73,67,74,78,74,69,73,67,.,.,.,63,72,60,64,68,61,62,71,59,45,50,44,74,82,82,.,.,.,69,73,67,64,73,60
'227820083,79,86,70,71,-1,-1,-1,-1,-1,.,.,.,82,87,78,59,64,55,82,87,77,85,89,82,82,88,78,.,.,.,75,84,66,79,86,74,76,84,67,62,78,58,92,83,92,.,.,.,82,87,78,80,86,71
'227820101,67,69,68,.,.,.,.,.,.,.,.,.,70,75,70,92,100,80,69,74,69,72,78,67,69,73,69,.,.,.,64,65,66,68,72,72,67,70,68,30,22,33,87,90,80,71,75,71,58,64,50,56,70,50
'227820102,61,68,58,-1,-1,-1,-1,-1,-1,.,.,.,63,70,62,55,58,58,61,68,60,63,68,64,64,70,62,-1,-1,-1,58,66,55,64,71,60,62,68,59,35,40,30,83,-1,-1,64,70,63,57,65,58,56,50,67
'227820103,71,81,62,-1,-1,-1,.,.,.,.,.,.,74,83,68,100,-1,-1,73,82,66,77,82,73,74,83,68,.,.,.,68,79,58,71,83,64,72,81,63,35,47,35,73,-1,-1,76,85,68,63,68,68,69,91,64
'227820104,68,75,66,43,-1,-1,.,.,.,.,.,.,69,75,67,71,79,64,69,74,66,76,80,77,69,74,68,.,.,.,61,67,57,62,70,56,69,75,67,28,35,25,81,92,69,71,79,69,65,69,64,50,-1,-1
'227820205,91,94,91,-1,-1,-1,100,-1,-1,.,.,.,93,96,93,96,97,98,92,95,93,92,95,94,90,95,90,88,89,89,86,92,87,93,96,92,86,91,88,69,75,63,-1,-1,-1,.,.,.,93,96,93,100,-1,-1
'227820206,70,71,79,.,.,.,.,.,.,.,.,.,70,71,78,71,73,77,70,71,77,70,67,80,70,71,78,.,.,.,69,70,78,70,74,76,70,70,79,36,33,48,.,.,.,.,.,.,70,71,78,43,-1,-1
'227820207,91,95,91,.,.,.,100,100,100,.,.,.,91,95,92,99,100,97,92,95,91,94,93,97,90,93,90,-1,-1,-1,86,93,86,88,96,86,86,92,86,57,54,63,-1,-1,-1,.,.,.,91,95,92,100,-1,-1
'227820209,78,83,78,.,.,.,.,.,.,.,.,.,83,86,84,90,-1,-1,82,85,82,85,86,88,83,86,84,.,.,.,71,78,71,81,86,80,71,79,72,53,70,52,-1,-1,-1,.,.,.,83,86,84,-1,-1,-1
'227820211,60,68,60,57,-1,-1,.,.,.,.,.,.,70,74,71,74,78,76,68,74,69,68,69,73,66,71,68,.,.,.,58,66,57,71,80,69,59,67,58,58,66,62,.,.,.,.,.,.,70,74,71,-1,-1,-1
'227820212,86,84,94,-1,-1,-1,76,71,86,.,.,.,87,86,94,90,89,95,87,85,94,91,87,96,87,86,96,-1,-1,-1,85,83,94,82,85,93,85,84,94,75,78,89,73,-1,-1,.,.,.,87,86,94,100,-1,-1
'227820213,66,76,59,-1,-1,-1,-1,-1,-1,.,.,.,71,76,67,70,75,66,69,75,64,73,74,75,71,77,68,.,.,.,66,76,59,68,79,59,59,67,55,44,50,43,90,-1,-1,.,.,.,71,76,67,-1,-1,-1
'227820214,70,75,73,100,-1,-1,.,.,.,.,.,.,64,72,63,60,70,57,63,71,61,72,76,73,72,75,76,.,.,.,66,72,70,56,67,53,43,53,49,14,36,0,.,.,.,.,.,.,64,72,63,50,-1,-1
'227820215,90,92,88,.,.,.,100,100,100,.,.,.,94,95,93,97,96,98,94,95,93,92,93,91,89,92,87,.,.,.,88,90,86,95,96,95,89,91,87,80,80,80,.,.,.,.,.,.,94,95,93,-1,-1,-1
'227820216,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227820217,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'227820301,45,44,48,100,-1,-1,.,.,.,.,.,.,47,46,52,46,44,51,43,42,49,54,48,63,47,49,54,.,.,.,33,35,35,42,45,45,32,35,30,9,8,17,56,-1,-1,.,.,.,47,46,52,17,-1,-1
'227820302,43,59,35,88,-1,-1,.,.,.,.,.,.,45,56,42,48,55,46,44,55,41,49,58,45,43,58,37,.,.,.,39,56,31,41,54,38,40,57,33,53,63,48,19,33,0,.,.,.,45,56,42,.,.,.
'227820303,81,81,81,-1,-1,-1,.,.,.,.,.,.,71,70,72,67,66,69,70,69,71,81,79,83,78,77,80,-1,-1,-1,81,81,81,63,63,63,84,84,84,64,71,57,-1,-1,-1,.,.,.,71,70,72,-1,-1,-1
'227820401,55,50,59,.,.,.,.,.,.,.,.,.,53,51,59,82,-1,-1,52,50,58,57,54,63,53,51,59,-1,-1,-1,55,50,59,49,48,55,54,51,58,38,40,40,.,.,.,.,.,.,53,51,59,44,-1,-1
'227820402,42,47,47,-1,-1,-1,.,.,.,.,.,.,48,51,54,52,56,56,47,50,53,47,49,53,48,50,54,.,.,.,40,45,45,50,52,54,40,45,45,23,26,26,-1,-1,-1,.,.,.,48,51,54,75,-1,-1
'227821101,38,25,75,63,56,75,80,-1,-1,.,.,.,75,71,85,17,-1,-1,66,64,81,74,68,84,65,63,83,.,.,.,43,-1,-1,76,72,86,65,60,80,34,23,57,81,76,87,78,76,88,70,60,78,100,-1,-1
'227824001,75,87,70,60,-1,-1,.,.,.,.,.,.,70,79,71,75,83,67,70,78,69,67,76,65,70,81,71,.,.,.,74,86,69,75,84,80,65,76,67,-1,-1,-1,67,-1,-1,81,78,89,68,79,68,.,.,.
'227824002,50,65,42,-1,-1,-1,.,.,.,.,.,.,62,68,57,65,59,61,63,68,57,66,65,63,61,68,56,.,.,.,47,61,37,59,70,52,50,60,42,41,60,30,85,100,80,68,75,60,57,63,53,37,67,15
'227824003,72,71,82,.,.,.,.,.,.,.,.,.,76,74,83,.,.,.,77,79,84,76,75,88,76,74,83,.,.,.,72,71,82,76,73,80,67,65,76,-1,-1,-1,.,.,.,.,.,.,76,74,83,-1,-1,-1
'227824004,73,-1,-1,.,.,.,.,.,.,.,.,.,71,73,71,50,-1,-1,69,71,69,64,59,71,71,77,70,.,.,.,73,-1,-1,74,81,71,62,70,59,60,-1,-1,100,-1,-1,.,.,.,71,73,71,.,.,.
'227825001,65,71,64,57,-1,60,.,.,.,.,.,.,66,72,66,63,58,73,66,72,66,68,73,70,66,72,66,.,.,.,59,68,58,65,71,63,61,69,60,26,36,23,88,80,80,63,67,87,66,72,66,42,45,36
'227825003,54,52,47,100,.,-1,.,.,.,.,.,.,59,51,54,69,42,67,59,51,54,62,56,57,58,51,52,.,.,.,49,51,41,57,45,51,49,50,42,32,15,26,93,-1,100,74,29,67,50,53,44,20,11,27
